"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"AccountsReceivable430","AccountsReceivable430","","","",0,*,"","","","null {[]} {[]}
","ACCOUNTS RECEIVABLE (430)","This StructureDefinition contains the Logical Model for the mapped parts of the source ACCOUNTS RECEIVABLE (430)","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"AccountsReceivable430.patient","AccountsReceivable430.patient","","","",0,1,"","","","Element {[]} {[]}
","PATIENT (-7)","PATIENT (-7)","","","","","","","","","",,,,,"",,,,"AccountsReceivable430.patient",0,1,"",""
"AccountsReceivable430.debtor","AccountsReceivable430.debtor","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://va.gov/fhir/StructureDefinition/ArDebtor340]]}
","DEBTOR (-9)","DEBTOR (-9)","","","","","","","","","",,,,,"",,,,"AccountsReceivable430.debtor",0,1,"",""
"AccountsReceivable430.name","AccountsReceivable430.name","","","",0,1,"","","","Element {[]} {[]}
","NAME (-.01)","NAME (-.01)","","","","","","","","","",,,,,"",,,,"AccountsReceivable430.name",0,1,"",""
"AccountsReceivable430.currentStatus","AccountsReceivable430.currentStatus","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://va.gov/fhir/StructureDefinition/AccountsReceivableTranstype4303]]}
","CURRENT STATUS (-8)","CURRENT STATUS (-8)","","","","","","","","","",,,,,"",,,,"AccountsReceivable430.currentStatus",0,1,"",""
"AccountsReceivable430.dateBillPrepared","AccountsReceivable430.dateBillPrepared","","","",0,1,"","","","Element {[]} {[]}
","DATE BILL PREPARED (-10)","DATE BILL PREPARED (-10)","","","","","","","","","",,,,,"",,,,"AccountsReceivable430.dateBillPrepared",0,1,"",""
"AccountsReceivable430.site","AccountsReceivable430.site","","","",0,1,"","","","Element {[]} {[]}
","SITE (-12)","SITE (-12)","","","","","","","","","",,,,,"",,,,"AccountsReceivable430.site",0,1,"",""
"AccountsReceivable430.originalAmount","AccountsReceivable430.originalAmount","","","",0,1,"","","","Element {[]} {[]}
","ORIGINAL AMOUNT (-3)","ORIGINAL AMOUNT (-3)","","","","","","","","","",,,,,"",,,,"AccountsReceivable430.originalAmount",0,1,"",""
"AccountsReceivable430.currentBalance","AccountsReceivable430.currentBalance","","","",0,1,"","","","Element {[]} {[]}
","CURRENT BALANCE (-11)","CURRENT BALANCE (-11)","","","","","","","","","",,,,,"",,,,"AccountsReceivable430.currentBalance",0,1,"",""
"AccountsReceivable430.amendedAmount","AccountsReceivable430.amendedAmount","","","",0,1,"","","","Element {[]} {[]}
","AMENDED AMOUNT (-35)","AMENDED AMOUNT (-35)","","","","","","","","","",,,,,"",,,,"AccountsReceivable430.amendedAmount",0,1,"",""
"AccountsReceivable430.principalBalance","AccountsReceivable430.principalBalance","","","",0,1,"","","","Element {[]} {[]}
","PRINCIPAL BALANCE (-71)","PRINCIPAL BALANCE (-71)","","","","","","","","","",,,,,"",,,,"AccountsReceivable430.principalBalance",0,1,"",""
"AccountsReceivable430.interestBalance","AccountsReceivable430.interestBalance","","","",0,1,"","","","Element {[]} {[]}
","INTEREST BALANCE (-72)","INTEREST BALANCE (-72)","","","","","","","","","",,,,,"",,,,"AccountsReceivable430.interestBalance",0,1,"",""
"AccountsReceivable430.administrativeCostBalance","AccountsReceivable430.administrativeCostBalance","","","",0,1,"","","","Element {[]} {[]}
","ADMINISTRATIVE COST BALANCE (-73)","ADMINISTRATIVE COST BALANCE (-73)","","","","","","","","","",,,,,"",,,,"AccountsReceivable430.administrativeCostBalance",0,1,"",""
"AccountsReceivable430.marshallFee","AccountsReceivable430.marshallFee","","","",0,1,"","","","Element {[]} {[]}
","MARSHALL FEE (-74)","MARSHALL FEE (-74)","","","","","","","","","",,,,,"",,,,"AccountsReceivable430.marshallFee",0,1,"",""
"AccountsReceivable430.courtCost","AccountsReceivable430.courtCost","","","",0,1,"","","","Element {[]} {[]}
","COURT COST (-75)","COURT COST (-75)","","","","","","","","","",,,,,"",,,,"AccountsReceivable430.courtCost",0,1,"",""
"AccountsReceivable430.totalPaidPrincipal","AccountsReceivable430.totalPaidPrincipal","","","",0,1,"","","","Element {[]} {[]}
","TOTAL PAID PRINCIPAL (-77)","TOTAL PAID PRINCIPAL (-77)","","","","","","","","","",,,,,"",,,,"AccountsReceivable430.totalPaidPrincipal",0,1,"",""
"AccountsReceivable430.totalPaidInterest","AccountsReceivable430.totalPaidInterest","","","",0,1,"","","","Element {[]} {[]}
","TOTAL PAID INTEREST (-78)","TOTAL PAID INTEREST (-78)","","","","","","","","","",,,,,"",,,,"AccountsReceivable430.totalPaidInterest",0,1,"",""
"AccountsReceivable430.totalPaidAdministrativeCost","AccountsReceivable430.totalPaidAdministrativeCost","","","",0,1,"","","","Element {[]} {[]}
","TOTAL PAID ADMINISTRATIVE COST (-79)","TOTAL PAID ADMINISTRATIVE COST (-79)","","","","","","","","","",,,,,"",,,,"AccountsReceivable430.totalPaidAdministrativeCost",0,1,"",""
"AccountsReceivable430.totalPaidMarshalFee","AccountsReceivable430.totalPaidMarshalFee","","","",0,1,"","","","Element {[]} {[]}
","TOTAL PAID MARSHAL FEE (-79.1)","TOTAL PAID MARSHAL FEE (-79.1)","","","","","","","","","",,,,,"",,,,"AccountsReceivable430.totalPaidMarshalFee",0,1,"",""
"AccountsReceivable430.totalPaidCourtCost","AccountsReceivable430.totalPaidCourtCost","","","",0,1,"","","","Element {[]} {[]}
","TOTAL PAID COURT COST (-79.2)","TOTAL PAID COURT COST (-79.2)","","","","","","","","","",,,,,"",,,,"AccountsReceivable430.totalPaidCourtCost",0,1,"",""
