"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"AdersA","AdersA","","","",0,*,"","","","null {[]} {[]}
","ADERS (A)","This StructureDefinition contains the Logical Model for the mapped parts of the source ADERS (A)","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"AdersA.pticnfull","AdersA.pticnfull","","","",0,1,"","","","Element {[]} {[]}
","Pt_ICN_Full (-0)","Pt_ICN_Full (-0)","","","","","","","","","",,,,,"",,,,"AdersA.pticnfull",0,1,"",""
"AdersA.ptdob","AdersA.ptdob","","","",0,1,"","","","Element {[]} {[]}
","ptDOB (-2)","ptDOB (-2)","","","","","","","","","",,,,,"",,,,"AdersA.ptdob",0,1,"",""
"AdersA.ptsex","AdersA.ptsex","","","",0,1,"","","","Element {[]} {[]}
","ptSex (-3)","ptSex (-3)","","","","","","","","","",,,,,"",,,,"AdersA.ptsex",0,1,"",""
"AdersA.death","AdersA.death","","","",0,1,"","","","Element {[]} {[]}
","Death (-21.6)","Death (-21.6)","","","","","","","","","",,,,,"",,,,"AdersA.death",0,1,"",""
"AdersA.deathdt","AdersA.deathdt","","","",0,1,"","","","Element {[]} {[]}
","DeathDt (-21.7)","DeathDt (-21.7)","","","","","","","","","",,,,,"",,,,"AdersA.deathdt",0,1,"",""
"AdersA.ptraceaian","AdersA.ptraceaian","","","",0,1,"","","","Element {[]} {[]}
","PtRace_AIAN (-24.1)","PtRace_AIAN (-24.1)","","","","","","","","","",,,,,"",,,,"AdersA.ptraceaian",0,1,"",""
"AdersA.ptraceasian","AdersA.ptraceasian","","","",0,1,"","","","Element {[]} {[]}
","PtRace_Asian (-24.2)","PtRace_Asian (-24.2)","","","","","","","","","",,,,,"",,,,"AdersA.ptraceasian",0,1,"",""
"AdersA.ptraceblkam","AdersA.ptraceblkam","","","",0,1,"","","","Element {[]} {[]}
","PtRace_BlkAM (-24.3)","PtRace_BlkAM (-24.3)","","","","","","","","","",,,,,"",,,,"AdersA.ptraceblkam",0,1,"",""
"AdersA.ptracenhopi","AdersA.ptracenhopi","","","",0,1,"","","","Element {[]} {[]}
","PtRace_NH_OPI (-24.4)","PtRace_NH_OPI (-24.4)","","","","","","","","","",,,,,"",,,,"AdersA.ptracenhopi",0,1,"",""
"AdersA.ptracewhite","AdersA.ptracewhite","","","",0,1,"","","","Element {[]} {[]}
","PtRace_White (-24.5)","PtRace_White (-24.5)","","","","","","","","","",,,,,"",,,,"AdersA.ptracewhite",0,1,"",""
"AdersA.ptraceunk","AdersA.ptraceunk","","","",0,1,"","","","Element {[]} {[]}
","PtRace_Unk (-24.6)","PtRace_Unk (-24.6)","","","","","","","","","",,,,,"",,,,"AdersA.ptraceunk",0,1,"",""
"AdersA.ptraceother","AdersA.ptraceother","","","",0,1,"","","","Element {[]} {[]}
","PtRace_Other (-24.7)","PtRace_Other (-24.7)","","","","","","","","","",,,,,"",,,,"AdersA.ptraceother",0,1,"",""
"AdersA.ptethnicityhisplat","AdersA.ptethnicityhisplat","","","",0,1,"","","","Element {[]} {[]}
","PtEthnicity_HispLat (-25.1)","PtEthnicity_HispLat (-25.1)","","","","","","","","","",,,,,"",,,,"AdersA.ptethnicityhisplat",0,1,"",""
"AdersA.ptethnicitynhl","AdersA.ptethnicitynhl","","","",0,1,"","","","Element {[]} {[]}
","PtEthnicity_NHL (-25.2)","PtEthnicity_NHL (-25.2)","","","","","","","","","",,,,,"",,,,"AdersA.ptethnicitynhl",0,1,"",""
"AdersA.ptethnicityunk","AdersA.ptethnicityunk","","","",0,1,"","","","Element {[]} {[]}
","PtEthnicity_Unk (-25.3)","PtEthnicity_Unk (-25.3)","","","","","","","","","",,,,,"",,,,"AdersA.ptethnicityunk",0,1,"",""
"AdersA.ptethnicityother","AdersA.ptethnicityother","","","",0,1,"","","","Element {[]} {[]}
","PtEthnicity_Other (-25.4)","PtEthnicity_Other (-25.4)","","","","","","","","","",,,,,"",,,,"AdersA.ptethnicityother",0,1,"",""
"AdersA.vac1typebrand","AdersA.vac1typebrand","","","",0,1,"","","","Element {[]} {[]}
","Vac1_TypeBrand (-17.11)","Vac1_TypeBrand (-17.11)","","","","","","","","","",,,,,"",,,,"AdersA.vac1typebrand",0,1,"",""
"AdersA.vac1mfgr","AdersA.vac1mfgr","","","",0,1,"","","","Element {[]} {[]}
","Vac1_Mfgr (-17.13)","Vac1_Mfgr (-17.13)","","","","","","","","","",,,,,"",,,,"AdersA.vac1mfgr",0,1,"",""
"AdersA.vac1lot","AdersA.vac1lot","","","",0,1,"","","","Element {[]} {[]}
","Vac1_Lot (-17.14)","Vac1_Lot (-17.14)","","","","","","","","","",,,,,"",,,,"AdersA.vac1lot",0,1,"",""
"AdersA.vac1site","AdersA.vac1site","","","",0,1,"","","","Element {[]} {[]}
","Vac1_Site (-17.15)","Vac1_Site (-17.15)","","","","","","","","","",,,,,"",,,,"AdersA.vac1site",0,1,"",""
