"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"ArTransaction433","ArTransaction433","","","",0,*,"","","","null {[]} {[]}
","AR TRANSACTION (433)","This StructureDefinition contains the Logical Model for the mapped parts of the source AR TRANSACTION (433)","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"ArTransaction433.marshalFee","ArTransaction433.marshalFee","","","",0,1,"","","","Element {[]} {[]}
","MARSHAL FEE (-25)","MARSHAL FEE (-25)","","","","","","","","","",,,,,"",,,,"ArTransaction433.marshalFee",0,1,"",""
"ArTransaction433.courtCost","ArTransaction433.courtCost","","","",0,1,"","","","Element {[]} {[]}
","COURT COST (-26)","COURT COST (-26)","","","","","","","","","",,,,,"",,,,"ArTransaction433.courtCost",0,1,"",""
"ArTransaction433.intcharge","ArTransaction433.intcharge","","","",0,1,"","","","Element {[]} {[]}
","INT.CHARGE (-25)","INT.CHARGE (-25)","","","","","","","","","",,,,,"",,,,"ArTransaction433.intcharge",0,1,"",""
"ArTransaction433.admcharge","ArTransaction433.admcharge","","","",0,1,"","","","Element {[]} {[]}
","ADM.CHARGE (-25)","ADM.CHARGE (-25)","","","","","","","","","",,,,,"",,,,"ArTransaction433.admcharge",0,1,"",""
"ArTransaction433.dateEntered","ArTransaction433.dateEntered","","","",0,1,"","","","Element {[]} {[]}
","DATE ENTERED (-19)","DATE ENTERED (-19)","","","","","","","","","",,,,,"",,,,"ArTransaction433.dateEntered",0,1,"",""
"ArTransaction433.transactionType","ArTransaction433.transactionType","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://va.gov/fhir/StructureDefinition/AccountsReceivableTranstype4303]]}
","TRANSACTION TYPE (-12)","TRANSACTION TYPE (-12)","","","","","","","","","",,,,,"",,,,"ArTransaction433.transactionType",0,1,"",""
"ArTransaction433.transactionNumber","ArTransaction433.transactionNumber","","","",0,1,"","","","Element {[]} {[]}
","TRANSACTION NUMBER (-.01)","TRANSACTION NUMBER (-.01)","","","","","","","","","",,,,,"",,,,"ArTransaction433.transactionNumber",0,1,"",""
"ArTransaction433.transactionDate","ArTransaction433.transactionDate","","","",0,1,"","","","Element {[]} {[]}
","TRANSACTION DATE (-11)","TRANSACTION DATE (-11)","","","","","","","","","",,,,,"",,,,"ArTransaction433.transactionDate",0,1,"",""
"ArTransaction433.billNumber","ArTransaction433.billNumber","","","",0,1,"","","","Element {[]} {[]}
","BILL NUMBER (-.03)","BILL NUMBER (-.03)","","","","","","","","","",,,,,"",,,,"ArTransaction433.billNumber",0,1,"",""
"ArTransaction433.transAmount","ArTransaction433.transAmount","","","",0,1,"","","","Element {[]} {[]}
","TRANS. AMOUNT (-15)","TRANS. AMOUNT (-15)","","","","","","","","","",,,,,"",,,,"ArTransaction433.transAmount",0,1,"",""
"ArTransaction433.receipt","ArTransaction433.receipt","","","",0,1,"","","","Element {[]} {[]}
","RECEIPT # (-13)","RECEIPT # (-13)","","","","","","","","","",,,,,"",,,,"ArTransaction433.receipt",0,1,"",""
"ArTransaction433.prinCollected","ArTransaction433.prinCollected","","","",0,1,"","","","Element {[]} {[]}
","PRIN. COLLECTED (-31)","PRIN. COLLECTED (-31)","","","","","","","","","",,,,,"",,,,"ArTransaction433.prinCollected",0,1,"",""
"ArTransaction433.interestCollected","ArTransaction433.interestCollected","","","",0,1,"","","","Element {[]} {[]}
","INTEREST COLLECTED (-32)","INTEREST COLLECTED (-32)","","","","","","","","","",,,,,"",,,,"ArTransaction433.interestCollected",0,1,"",""
"ArTransaction433.adminCollected","ArTransaction433.adminCollected","","","",0,1,"","","","Element {[]} {[]}
","ADMIN. COLLECTED (-33)","ADMIN. COLLECTED (-33)","","","","","","","","","",,,,,"",,,,"ArTransaction433.adminCollected",0,1,"",""
"ArTransaction433.marshalFeeCollected","ArTransaction433.marshalFeeCollected","","","",0,1,"","","","Element {[]} {[]}
","MARSHAL FEE COLLECTED (-34)","MARSHAL FEE COLLECTED (-34)","","","","","","","","","",,,,,"",,,,"ArTransaction433.marshalFeeCollected",0,1,"",""
"ArTransaction433.courtCostCollected","ArTransaction433.courtCostCollected","","","",0,1,"","","","Element {[]} {[]}
","COURT COST COLLECTED (-35)","COURT COST COLLECTED (-35)","","","","","","","","","",,,,,"",,,,"ArTransaction433.courtCostCollected",0,1,"",""
