"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"DentalDeviceTracking2289","DentalDeviceTracking2289","","","",0,*,"","","","null {[]} {[]}
","DENTAL DEVICE TRACKING (228.9)","This StructureDefinition contains the Logical Model for the mapped parts of the VistA file DENTAL DEVICE TRACKING (228.9)","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"DentalDeviceTracking2289.ien","DentalDeviceTracking2289.ien","","","",0,1,"","","","Element {[]} {[]}
","IEN (-.001)","IEN (-.001)","","","","","","","","","",,,,,"",,,,"DentalDeviceTracking2289.ien",0,1,"",""
"DentalDeviceTracking2289.udi","DentalDeviceTracking2289.udi","","","",0,1,"","","","Element {[]} {[]}
","UDI (-1)","UDI (-1)","","","","","","","","","",,,,,"",,,,"DentalDeviceTracking2289.udi",0,1,"",""
"DentalDeviceTracking2289.status","DentalDeviceTracking2289.status","","","",0,1,"","","","Coding {[]} {[]}
","STATUS (-.08)","STATUS (-.08)","","","","","","","","","",,"example","","http://va.gov/fhir/ValueSet/VSVFDentalDeviceStatus-vista","",,,,"DentalDeviceTracking2289.status",0,1,"",""
"DentalDeviceTracking2289.donationId","DentalDeviceTracking2289.donationId","","","",0,1,"","","","Element {[]} {[]}
","DONATION ID (-4.8)","DONATION ID (-4.8)","","","","","","","","","",,,,,"",,,,"DentalDeviceTracking2289.donationId",0,1,"",""
"DentalDeviceTracking2289.manufacturer","DentalDeviceTracking2289.manufacturer","","","",0,1,"","","","Element {[]} {[]}
","MANUFACTURER (-4.1)","MANUFACTURER (-4.1)","","","","","","","","","",,,,,"",,,,"DentalDeviceTracking2289.manufacturer",0,1,"",""
"DentalDeviceTracking2289.manufacturerDate","DentalDeviceTracking2289.manufacturerDate","","","",0,1,"","","","Element {[]} {[]}
","MANUFACTURER DATE (-4.6)","MANUFACTURER DATE (-4.6)","","","","","","","","","",,,,,"",,,,"DentalDeviceTracking2289.manufacturerDate",0,1,"",""
"DentalDeviceTracking2289.expirationDate","DentalDeviceTracking2289.expirationDate","","","",0,1,"","","","Element {[]} {[]}
","EXPIRATION DATE (-4.7)","EXPIRATION DATE (-4.7)","","","","","","","","","",,,,,"",,,,"DentalDeviceTracking2289.expirationDate",0,1,"",""
"DentalDeviceTracking2289.lot","DentalDeviceTracking2289.lot","","","",0,1,"","","","Element {[]} {[]}
","LOT (-4.4)","LOT (-4.4)","","","","","","","","","",,,,,"",,,,"DentalDeviceTracking2289.lot",0,1,"",""
"DentalDeviceTracking2289.sn","DentalDeviceTracking2289.sn","","","",0,1,"","","","Element {[]} {[]}
","S/N (-4.3)","S/N (-4.3)","","","","","","","","","",,,,,"",,,,"DentalDeviceTracking2289.sn",0,1,"",""
"DentalDeviceTracking2289.model","DentalDeviceTracking2289.model","","","",0,1,"","","","Element {[]} {[]}
","MODEL (-4.2)","MODEL (-4.2)","","","","","","","","","",,,,,"",,,,"DentalDeviceTracking2289.model",0,1,"",""
"DentalDeviceTracking2289.type","DentalDeviceTracking2289.type","","","",0,1,"","","","Element {[]} {[]}
","TYPE (-2)","TYPE (-2)","","","","","","","","","",,,,,"",,,,"DentalDeviceTracking2289.type",0,1,"",""
"DentalDeviceTracking2289.patient","DentalDeviceTracking2289.patient","","","",0,1,"","","","Element {[]} {[]}
","PATIENT (-.03)","PATIENT (-.03)","","","","","","","","","",,,,,"",,,,"DentalDeviceTracking2289.patient",0,1,"",""
