"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"ElectrocardiogramEkg6915","ElectrocardiogramEkg6915","","","",0,*,"","","","null {[]} {[]}
","ELECTROCARDIOGRAM (EKG) (691.5)","-","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"ElectrocardiogramEkg6915.ien","ElectrocardiogramEkg6915.ien","","","",0,1,"","","","Element {[]} {[]}
","IEN (-.001)","IEN (-.001)","","","","","","","","","",,,,,"",,,,"ElectrocardiogramEkg6915.ien",0,1,"",""
"ElectrocardiogramEkg6915.releaseStatus","ElectrocardiogramEkg6915.releaseStatus","","","",0,1,"","","","Element {[]} {[]}
","RELEASE STATUS (-1506)","RELEASE STATUS (-1506)","","","","","","","","","",,,,,"",,,,"ElectrocardiogramEkg6915.releaseStatus",0,1,"",""
"ElectrocardiogramEkg6915.medicalPatient","ElectrocardiogramEkg6915.medicalPatient","","","",0,1,"","","","Element {[]} {[]}
","MEDICAL PATIENT (-1)","MEDICAL PATIENT (-1)","","","","","","","","","",,,,,"",,,,"ElectrocardiogramEkg6915.medicalPatient",0,1,"",""
"ElectrocardiogramEkg6915.datetime","ElectrocardiogramEkg6915.datetime","","","",0,1,"","","","Element {[]} {[]}
","DATE/TIME (-.01)","DATE/TIME (-.01)","","","","","","","","","",,,,,"",,,,"ElectrocardiogramEkg6915.datetime",0,1,"",""
"ElectrocardiogramEkg6915.dateOfVerified","ElectrocardiogramEkg6915.dateOfVerified","","","",0,1,"","","","Element {[]} {[]}
","DATE OF VERIFIED (-1508)","DATE OF VERIFIED (-1508)","","","","","","","","","",,,,,"",,,,"ElectrocardiogramEkg6915.dateOfVerified",0,1,"",""
"ElectrocardiogramEkg6915.interpretedBy","ElectrocardiogramEkg6915.interpretedBy","","","",0,1,"","","","Element {[]} {[]}
","INTERPRETED BY (-12)","INTERPRETED BY (-12)","","","","","","","","","",,,,,"",,,,"ElectrocardiogramEkg6915.interpretedBy",0,1,"",""
"ElectrocardiogramEkg6915.interpretationCodeRhythm","ElectrocardiogramEkg6915.interpretationCodeRhythm","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://va.gov/fhir/StructureDefinition/InterpretationCodeRhythm69154]]}
","INTERPRETATION CODE (RHYTHM) (-14)","INTERPRETATION CODE (RHYTHM) (-14)","","","","","","","","","",,,,,"",,,,"ElectrocardiogramEkg6915.interpretationCodeRhythm",0,1,"",""
"ElectrocardiogramEkg6915.interpretationCodeConfig","ElectrocardiogramEkg6915.interpretationCodeConfig","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://va.gov/fhir/StructureDefinition/InterpretationCodeConfig69155]]}
","INTERPRETATION CODE (CONFIG) (-14.1)","INTERPRETATION CODE (CONFIG) (-14.1)","","","","","","","","","",,,,,"",,,,"ElectrocardiogramEkg6915.interpretationCodeConfig",0,1,"",""
"ElectrocardiogramEkg6915.interpretationCodePacing","ElectrocardiogramEkg6915.interpretationCodePacing","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://va.gov/fhir/StructureDefinition/InterpretationCodePacing69156]]}
","INTERPRETATION CODE (PACING) (-14.2)","INTERPRETATION CODE (PACING) (-14.2)","","","","","","","","","",,,,,"",,,,"ElectrocardiogramEkg6915.interpretationCodePacing",0,1,"",""
"ElectrocardiogramEkg6915.summary","ElectrocardiogramEkg6915.summary","","","",0,1,"","","","Element {[]} {[]}
","SUMMARY (-.03)","SUMMARY (-.03)","","","","","","","","","",,,,,"",,,,"ElectrocardiogramEkg6915.summary",0,1,"",""
"ElectrocardiogramEkg6915.comment","ElectrocardiogramEkg6915.comment","","","",0,1,"","","","Element {[]} {[]}
","COMMENT (-.03)","COMMENT (-.03)","","","","","","","","","",,,,,"",,,,"ElectrocardiogramEkg6915.comment",0,1,"",""
