"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"Em6302","Em6302","","","",0,*,"","","","null {[]} {[]}
","EM (63.02)","This StructureDefinition contains the Logical Model for the mapped parts of the source EM (63.02)","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"Em6302.orderedTest","Em6302.orderedTest","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://va.gov/fhir/StructureDefinition/OrderedTest6352]]}
","ORDERED TEST (-.35)","ORDERED TEST (-.35)","","","","","","","","","",,,,,"",,,,"Em6302.orderedTest",0,1,"",""
"Em6302.datetimeSpecimenTaken","Em6302.datetimeSpecimenTaken","","","",0,1,"","","","Element {[]} {[]}
","DATE/TIME SPECIMEN TAKEN (-.01)","DATE/TIME SPECIMEN TAKEN (-.01)","","","","","","","","","",,,,,"",,,,"Em6302.datetimeSpecimenTaken",0,1,"",""
"Em6302.dateReportCompleted","Em6302.dateReportCompleted","","","",0,1,"","","","Element {[]} {[]}
","DATE REPORT COMPLETED (-.03)","DATE REPORT COMPLETED (-.03)","","","","","","","","","",,,,,"",,,,"Em6302.dateReportCompleted",0,1,"",""
"Em6302.releasedBy","Em6302.releasedBy","","","",0,1,"","","","Element {[]} {[]}
","RELEASED BY (-.13)","RELEASED BY (-.13)","","","","","","","","","",,,,,"",,,,"Em6302.releasedBy",0,1,"",""
"Em6302.image","Em6302.image","","","",0,1,"","","","Element {[]} {[]}
","IMAGE (-2005)","IMAGE (-2005)","","","","","","","","","",,,,,"",,,,"Em6302.image",0,1,"",""
"Em6302.emDiagnosis","Em6302.emDiagnosis","","","",0,1,"","","","Element {[]} {[]}
","EM DIAGNOSIS (-1.4)","EM DIAGNOSIS (-1.4)","","","","","","","","","",,,,,"",,,,"Em6302.emDiagnosis",0,1,"",""
"Em6302.releasingSite","Em6302.releasingSite","","","",0,1,"","","","Element {[]} {[]}
","RELEASING SITE (-.345)","RELEASING SITE (-.345)","","","","","","","","","",,,,,"",,,,"Em6302.releasingSite",0,1,"",""
"Em6302.pathologist","Em6302.pathologist","","","",0,1,"","","","Element {[]} {[]}
","PATHOLOGIST (-.02)","PATHOLOGIST (-.02)","","","","","","","","","",,,,,"",,,,"Em6302.pathologist",0,1,"",""
"Em6302.emAcc","Em6302.emAcc","","","",0,1,"","","","Element {[]} {[]}
","EM ACC # (-.06)","EM ACC # (-.06)","","","","","","","","","",,,,,"",,,,"Em6302.emAcc",0,1,"",""
"Em6302.tiuReferenceDatetimeEm","Em6302.tiuReferenceDatetimeEm","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://va.gov/fhir/StructureDefinition/TiuReferenceDatetime6349]]}
","TIU REFERENCE DATE/TIME - EM (-.16)","TIU REFERENCE DATE/TIME - EM (-.16)","","","","","","","","","",,,,,"",,,,"Em6302.tiuReferenceDatetimeEm",0,1,"",""
"Em6302.specimen","Em6302.specimen","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://va.gov/fhir/StructureDefinition/Specimen63202]]}
","SPECIMEN (-.012)","SPECIMEN (-.012)","","","","","","","","","",,,,,"",,,,"Em6302.specimen",0,1,"",""
