"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"HospitalLocation44","HospitalLocation44","","","",0,*,"","","","null {[]} {[]}
","HOSPITAL LOCATION (44)","This StructureDefinition contains the Logical Model for the mapped parts of the source HOSPITAL LOCATION (44)","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"HospitalLocation44.service","HospitalLocation44.service","","","",0,1,"","","","Element {[]} {[]}
","SERVICE (-9)","SERVICE (-9)","","","","","","","","","",,,,,"",,,,"HospitalLocation44.service",0,1,"",""
"HospitalLocation44.stopCodeNumber","HospitalLocation44.stopCodeNumber","","","",0,1,"","","","Element {[]} {[]}
","STOP CODE NUMBER (-8)","STOP CODE NUMBER (-8)","","","","","","","","","",,,,,"",,,,"HospitalLocation44.stopCodeNumber",0,1,"",""
"HospitalLocation44.creditStopCode","HospitalLocation44.creditStopCode","","","",0,1,"","","","Element {[]} {[]}
","CREDIT STOP CODE (-2503)","CREDIT STOP CODE (-2503)","","","","","","","","","",,,,,"",,,,"HospitalLocation44.creditStopCode",0,1,"",""
"HospitalLocation44.type","HospitalLocation44.type","","","",0,1,"","","","Element {[]} {[]}
","TYPE (-2)","TYPE (-2)","","","","","","","","","",,,,,"",,,,"HospitalLocation44.type",0,1,"",""
"HospitalLocation44.ien","HospitalLocation44.ien","","","",0,1,"","","","Element {[]} {[]}
","IEN (-.001)","IEN (-.001)","","","","","","","","","",,,,,"",,,,"HospitalLocation44.ien",0,1,"",""
"HospitalLocation44.name","HospitalLocation44.name","","","",0,1,"","","","Element {[]} {[]}
","NAME (-.01)","NAME (-.01)","","","","","","","","","",,,,,"",,,,"HospitalLocation44.name",0,1,"",""
"HospitalLocation44.abbreviation","HospitalLocation44.abbreviation","","","",0,1,"","","","Element {[]} {[]}
","ABBREVIATION (-1)","ABBREVIATION (-1)","","","","","","","","","",,,,,"",,,,"HospitalLocation44.abbreviation",0,1,"",""
"HospitalLocation44.synonym","HospitalLocation44.synonym","","","",0,1,"","","","Element {[]} {[]}
","SYNONYM (-13)","SYNONYM (-13)","","","","","","","","","",,,,,"",,,,"HospitalLocation44.synonym",0,1,"",""
"HospitalLocation44.patientFriendlyName","HospitalLocation44.patientFriendlyName","","","",0,1,"","","","Element {[]} {[]}
","PATIENT FRIENDLY NAME (-60)","PATIENT FRIENDLY NAME (-60)","","","","","","","","","",,,,,"",,,,"HospitalLocation44.patientFriendlyName",0,1,"",""
"HospitalLocation44.telephone","HospitalLocation44.telephone","","","",0,1,"","","","Element {[]} {[]}
","TELEPHONE (-99)","TELEPHONE (-99)","","","","","","","","","",,,,,"",,,,"HospitalLocation44.telephone",0,1,"",""
"HospitalLocation44.physicalLocation","HospitalLocation44.physicalLocation","","","",0,1,"","","","Element {[]} {[]}
","PHYSICAL LOCATION (-10)","PHYSICAL LOCATION (-10)","","","","","","","","","",,,,,"",,,,"HospitalLocation44.physicalLocation",0,1,"",""
"HospitalLocation44.institution","HospitalLocation44.institution","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://va.gov/fhir/StructureDefinition/Institution4]]}
","INSTITUTION (-3)","INSTITUTION (-3)","","","","","","","","","",,,,,"",,,,"HospitalLocation44.institution",0,1,"",""
