"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"Microbiology6305","Microbiology6305","","","",0,*,"","","","null {[]} {[]}
","MICROBIOLOGY (63.05)","This StructureDefinition contains the Logical Model for the mapped parts of the source MICROBIOLOGY (63.05)","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"Microbiology6305.orderedTest","Microbiology6305.orderedTest","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://va.gov/fhir/StructureDefinition/OrderedTest635]]}
","ORDERED TEST (-.35)","ORDERED TEST (-.35)","","","","","","","","","",,,,,"",,,,"Microbiology6305.orderedTest",0,1,"",""
"Microbiology6305.datetimeSpecimenTaken","Microbiology6305.datetimeSpecimenTaken","","","",0,1,"","","","Element {[]} {[]}
","DATE/TIME SPECIMEN TAKEN (-.01)","DATE/TIME SPECIMEN TAKEN (-.01)","","","","","","","","","",,,,,"",,,,"Microbiology6305.datetimeSpecimenTaken",0,1,"",""
"Microbiology6305.dateReportCompleted","Microbiology6305.dateReportCompleted","","","",0,1,"","","","Element {[]} {[]}
","DATE REPORT COMPLETED (-.03)","DATE REPORT COMPLETED (-.03)","","","","","","","","","",,,,,"",,,,"Microbiology6305.dateReportCompleted",0,1,"",""
"Microbiology6305.verifyPerson","Microbiology6305.verifyPerson","","","",0,1,"","","","Element {[]} {[]}
","VERIFY PERSON (-.04)","VERIFY PERSON (-.04)","","","","","","","","","",,,,,"",,,,"Microbiology6305.verifyPerson",0,1,"",""
"Microbiology6305.accessioningInstitution","Microbiology6305.accessioningInstitution","","","",0,1,"","","","Element {[]} {[]}
","ACCESSIONING INSTITUTION (-.112)","ACCESSIONING INSTITUTION (-.112)","","","","","","","","","",,,,,"",,,,"Microbiology6305.accessioningInstitution",0,1,"",""
"Microbiology6305.commentOnSpecimen","Microbiology6305.commentOnSpecimen","","","",0,1,"","","","Element {[]} {[]}
","COMMENT ON SPECIMEN (-.99)","COMMENT ON SPECIMEN (-.99)","","","","","","","","","",,,,,"",,,,"Microbiology6305.commentOnSpecimen",0,1,"",""
"Microbiology6305.microbiologyAccession","Microbiology6305.microbiologyAccession","","","",0,1,"","","","Element {[]} {[]}
","MICROBIOLOGY ACCESSION (-.06)","MICROBIOLOGY ACCESSION (-.06)","","","","","","","","","",,,,,"",,,,"Microbiology6305.microbiologyAccession",0,1,"",""
"Microbiology6305.ien","Microbiology6305.ien","","","",0,1,"","","","Element {[]} {[]}
","IEN (-.001)","IEN (-.001)","","","","","","","","","",,,,,"",,,,"Microbiology6305.ien",0,1,"",""
"Microbiology6305.collectionSample","Microbiology6305.collectionSample","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://va.gov/fhir/StructureDefinition/CollectionSample62]]}
","COLLECTION SAMPLE (-.055)","COLLECTION SAMPLE (-.055)","","","","","","","","","",,,,,"",,,,"Microbiology6305.collectionSample",0,1,"",""
"Microbiology6305.bactRptRemark","Microbiology6305.bactRptRemark","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://va.gov/fhir/StructureDefinition/BactRptRemark6333]]}
","BACT RPT REMARK (-13)","BACT RPT REMARK (-13)","","","","","","","","","",,,,,"",,,,"Microbiology6305.bactRptRemark",0,1,"",""
"Microbiology6305.organism","Microbiology6305.organism","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://va.gov/fhir/StructureDefinition/Organism633]]}
","ORGANISM (-12)","ORGANISM (-12)","","","","","","","","","",,,,,"",,,,"Microbiology6305.organism",0,1,"",""
"Microbiology6305.bactRptStatus","Microbiology6305.bactRptStatus","","","",0,1,"","","","Coding {[]} {[]}
","BACT RPT STATUS (-11.5)","BACT RPT STATUS (-11.5)","","","","","","","","","",,"preferred","","http://va.gov/fhir/ValueSet/VSVFLabObservationStatus-vista","",,,,"Microbiology6305.bactRptStatus",0,1,"",""
"Microbiology6305.urineScreen","Microbiology6305.urineScreen","","","",0,1,"","","","Coding {[]} {[]}
","URINE SCREEN (-11.57)","URINE SCREEN (-11.57)","","","","","","","","","",,"preferred","","http://va.gov/fhir/ValueSet/VSVFMicrobiologyUrineScreenResult-vista","",,,,"Microbiology6305.urineScreen",0,1,"",""
"Microbiology6305.sputumScreen","Microbiology6305.sputumScreen","","","",0,1,"","","","Element {[]} {[]}
","SPUTUM SCREEN (-11.58)","SPUTUM SCREEN (-11.58)","","","","","","","","","",,,,,"",,,,"Microbiology6305.sputumScreen",0,1,"",""
"Microbiology6305.gramStain","Microbiology6305.gramStain","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://va.gov/fhir/StructureDefinition/GramStain6329]]}
","GRAM STAIN (-11.6)","GRAM STAIN (-11.6)","","","","","","","","","",,,,,"",,,,"Microbiology6305.gramStain",0,1,"",""
"Microbiology6305.parasiteRptRemark","Microbiology6305.parasiteRptRemark","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://va.gov/fhir/StructureDefinition/ParasiteRptRemark6336]]}
","PARASITE RPT REMARK (-17)","PARASITE RPT REMARK (-17)","","","","","","","","","",,,,,"",,,,"Microbiology6305.parasiteRptRemark",0,1,"",""
"Microbiology6305.parasite","Microbiology6305.parasite","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://va.gov/fhir/StructureDefinition/Parasite6334]]}
","PARASITE (-16)","PARASITE (-16)","","","","","","","","","",,,,,"",,,,"Microbiology6305.parasite",0,1,"",""
"Microbiology6305.parasiteRptStatus","Microbiology6305.parasiteRptStatus","","","",0,1,"","","","Coding {[]} {[]}
","PARASITE RPT STATUS (-15)","PARASITE RPT STATUS (-15)","","","","","","","","","",,"preferred","","http://va.gov/fhir/ValueSet/VSVFLabObservationStatus-vista","",,,,"Microbiology6305.parasiteRptStatus",0,1,"",""
"Microbiology6305.mycologyRptRemark","Microbiology6305.mycologyRptRemark","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://va.gov/fhir/StructureDefinition/MycologyRptRemark6338]]}
","MYCOLOGY RPT REMARK (-21)","MYCOLOGY RPT REMARK (-21)","","","","","","","","","",,,,,"",,,,"Microbiology6305.mycologyRptRemark",0,1,"",""
"Microbiology6305.fungusyeast","Microbiology6305.fungusyeast","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://va.gov/fhir/StructureDefinition/Fungusyeast6337]]}
","FUNGUS/YEAST (-20)","FUNGUS/YEAST (-20)","","","","","","","","","",,,,,"",,,,"Microbiology6305.fungusyeast",0,1,"",""
"Microbiology6305.mycologyRptStatus","Microbiology6305.mycologyRptStatus","","","",0,1,"","","","Coding {[]} {[]}
","MYCOLOGY RPT STATUS (-19)","MYCOLOGY RPT STATUS (-19)","","","","","","","","","",,"preferred","","http://va.gov/fhir/ValueSet/VSVFLabObservationStatus-vista","",,,,"Microbiology6305.mycologyRptStatus",0,1,"",""
"Microbiology6305.tbRptRemark","Microbiology6305.tbRptRemark","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://va.gov/fhir/StructureDefinition/TbRptRemark6341]]}
","TB RPT REMARK (-27)","TB RPT REMARK (-27)","","","","","","","","","",,,,,"",,,,"Microbiology6305.tbRptRemark",0,1,"",""
"Microbiology6305.mycobacterium","Microbiology6305.mycobacterium","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://va.gov/fhir/StructureDefinition/Mycobacterium6339]]}
","MYCOBACTERIUM (-26)","MYCOBACTERIUM (-26)","","","","","","","","","",,,,,"",,,,"Microbiology6305.mycobacterium",0,1,"",""
"Microbiology6305.tbRptStatus","Microbiology6305.tbRptStatus","","","",0,1,"","","","Coding {[]} {[]}
","TB RPT STATUS (-23)","TB RPT STATUS (-23)","","","","","","","","","",,"preferred","","http://va.gov/fhir/ValueSet/VSVFLabObservationStatus-vista","",,,,"Microbiology6305.tbRptStatus",0,1,"",""
"Microbiology6305.acidFastStain","Microbiology6305.acidFastStain","","","",0,1,"","","","Element {[]} {[]}
","ACID FAST STAIN (-24)","ACID FAST STAIN (-24)","","","","","","","","","",,,,,"",,,,"Microbiology6305.acidFastStain",0,1,"",""
"Microbiology6305.virologyRptRemark","Microbiology6305.virologyRptRemark","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://va.gov/fhir/StructureDefinition/VirologyRptRemark6344]]}
","VIROLOGY RPT REMARK (-37)","VIROLOGY RPT REMARK (-37)","","","","","","","","","",,,,,"",,,,"Microbiology6305.virologyRptRemark",0,1,"",""
"Microbiology6305.virus","Microbiology6305.virus","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://va.gov/fhir/StructureDefinition/Virus6343]]}
","VIRUS (-36)","VIRUS (-36)","","","","","","","","","",,,,,"",,,,"Microbiology6305.virus",0,1,"",""
"Microbiology6305.virologyReportStatus","Microbiology6305.virologyReportStatus","","","",0,1,"","","","Coding {[]} {[]}
","VIROLOGY REPORT STATUS (-34)","VIROLOGY REPORT STATUS (-34)","","","","","","","","","",,"preferred","","http://va.gov/fhir/ValueSet/VSVFLabObservationStatus-vista","",,,,"Microbiology6305.virologyReportStatus",0,1,"",""
