"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"NonvaMeds5505","NonvaMeds5505","","","",0,*,"","","","null {[]} {[]}
","NON-VA MEDS (55.05)","This StructureDefinition contains the Logical Model for the mapped parts of the source NON-VA MEDS (55.05)","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"NonvaMeds5505.orderNumber","NonvaMeds5505.orderNumber","","","",0,1,"","","","Element {[]} {[]}
","ORDER NUMBER (-7)","ORDER NUMBER (-7)","","","","","","","","","",,,,,"",,,,"NonvaMeds5505.orderNumber",0,1,"",""
"NonvaMeds5505.ien","NonvaMeds5505.ien","","","",0,1,"","","","Element {[]} {[]}
","IEN (-.001)","IEN (-.001)","","","","","","","","","",,,,,"",,,,"NonvaMeds5505.ien",0,1,"",""
"NonvaMeds5505.orderableItem","NonvaMeds5505.orderableItem","","","",0,1,"","","","Element {[]} {[]}
","ORDERABLE ITEM (-.01)","ORDERABLE ITEM (-.01)","","","","","","","","","",,,,,"",,,,"NonvaMeds5505.orderableItem",0,1,"",""
"NonvaMeds5505.dispenseDrug","NonvaMeds5505.dispenseDrug","","","",0,1,"","","","Element {[]} {[]}
","DISPENSE DRUG (-1)","DISPENSE DRUG (-1)","","","","","","","","","",,,,,"",,,,"NonvaMeds5505.dispenseDrug",0,1,"",""
"NonvaMeds5505.dosage","NonvaMeds5505.dosage","","","",0,1,"","","","Element {[]} {[]}
","DOSAGE (-2)","DOSAGE (-2)","","","","","","","","","",,,,,"",,,,"NonvaMeds5505.dosage",0,1,"",""
"NonvaMeds5505.medicationRoute","NonvaMeds5505.medicationRoute","","","",0,1,"","","","Element {[]} {[]}
","MEDICATION ROUTE (-3)","MEDICATION ROUTE (-3)","","","","","","","","","",,,,,"",,,,"NonvaMeds5505.medicationRoute",0,1,"",""
"NonvaMeds5505.schedule","NonvaMeds5505.schedule","","","",0,1,"","","","Element {[]} {[]}
","SCHEDULE (-4)","SCHEDULE (-4)","","","","","","","","","",,,,,"",,,,"NonvaMeds5505.schedule",0,1,"",""
"NonvaMeds5505.status","NonvaMeds5505.status","","","",0,1,"","","","Element {[]} {[]}
","STATUS (-5)","STATUS (-5)","","","","","","","","","",,,,,"",,,,"NonvaMeds5505.status",0,1,"",""
"NonvaMeds5505.documentedDate","NonvaMeds5505.documentedDate","","","",0,1,"","","","Element {[]} {[]}
","DOCUMENTED DATE (-11)","DOCUMENTED DATE (-11)","","","","","","","","","",,,,,"",,,,"NonvaMeds5505.documentedDate",0,1,"",""
"NonvaMeds5505.documentedBy","NonvaMeds5505.documentedBy","","","",0,1,"","","","Element {[]} {[]}
","DOCUMENTED BY (-12)","DOCUMENTED BY (-12)","","","","","","","","","",,,,,"",,,,"NonvaMeds5505.documentedBy",0,1,"",""
"NonvaMeds5505.comments","NonvaMeds5505.comments","","","",0,1,"","","","Element {[]} {[]}
","COMMENTS (-14)","COMMENTS (-14)","","","","","","","","","",,,,,"",,,,"NonvaMeds5505.comments",0,1,"",""
"NonvaMeds5505.indicationForUse","NonvaMeds5505.indicationForUse","","","",0,1,"","","","Element {[]} {[]}
","INDICATION FOR USE (-15)","INDICATION FOR USE (-15)","","","","","","","","","",,,,,"",,,,"NonvaMeds5505.indicationForUse",0,1,"",""
"NonvaMeds5505.sig","NonvaMeds5505.sig","","","",0,1,"","","","Element {[]} {[]}
","SIG (-16)","SIG (-16)","","","","","","","","","",,,,,"",,,,"NonvaMeds5505.sig",0,1,"",""
"NonvaMeds5505.disclaimer","NonvaMeds5505.disclaimer","","","",0,1,"","","","Element {[]} {[]}
","DISCLAIMER (-10)","DISCLAIMER (-10)","","","","","","","","","",,,,,"",,,,"NonvaMeds5505.disclaimer",0,1,"",""
"NonvaMeds5505.clinic","NonvaMeds5505.clinic","","","",0,1,"","","","Element {[]} {[]}
","CLINIC (-13)","CLINIC (-13)","","","","","","","","","",,,,,"",,,,"NonvaMeds5505.clinic",0,1,"",""
