"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"PatientAllergies1208","PatientAllergies1208","","","",0,*,"","","","null {[]} {[]}
","PATIENT ALLERGIES (120.8)","This StructureDefinition contains the Logical Model for the mapped parts of the source PATIENT ALLERGIES (120.8)","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"PatientAllergies1208.ien","PatientAllergies1208.ien","","","",0,1,"","","","Element {[]} {[]}
","IEN (-.001)","IEN (-.001)","","","","","","","","","",,,,,"",,,,"PatientAllergies1208.ien",0,1,"",""
"PatientAllergies1208.reactant","PatientAllergies1208.reactant","","","",0,1,"","","","Element {[]} {[]}
","REACTANT (-.02)","REACTANT (-.02)","","","","","","","","","",,,,,"",,,,"PatientAllergies1208.reactant",0,1,"",""
"PatientAllergies1208.gmrAllergy","PatientAllergies1208.gmrAllergy","","","",0,1,"","","","Element {[]} {[]}
","GMR ALLERGY (-1)","GMR ALLERGY (-1)","","","","","","","","","",,,,,"",,,,"PatientAllergies1208.gmrAllergy",0,1,"",""
"PatientAllergies1208.patient","PatientAllergies1208.patient","","","",0,1,"","","","Element {[]} {[]}
","PATIENT (-.01)","PATIENT (-.01)","","","","","","","","","",,,,,"",,,,"PatientAllergies1208.patient",0,1,"",""
"PatientAllergies1208.originator","PatientAllergies1208.originator","","","",0,1,"","","","Element {[]} {[]}
","ORIGINATOR (-5)","ORIGINATOR (-5)","","","","","","","","","",,,,,"",,,,"PatientAllergies1208.originator",0,1,"",""
"PatientAllergies1208.reactions","PatientAllergies1208.reactions","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://va.gov/fhir/StructureDefinition/Reactions12081]]}
","REACTIONS (-10)","REACTIONS (-10)","","","","","","","","","",,,,,"",,,,"PatientAllergies1208.reactions",0,1,"",""
"PatientAllergies1208.mechanism","PatientAllergies1208.mechanism","","","",0,1,"","","","Coding {[]} {[]}
","MECHANISM (-17)","MECHANISM (-17)","","","","","","","","","",,"preferred","","http://va.gov/fhir/ValueSet/VSVFallergyMechanism-vista","",,,,"PatientAllergies1208.mechanism",0,1,"",""
"PatientAllergies1208.verified","PatientAllergies1208.verified","","","",0,1,"","","","Coding {[]} {[]}
","VERIFIED (-19)","VERIFIED (-19)","","","","","","","","","",,"preferred","","http://va.gov/fhir/ValueSet/VSVFallergyVerificationStatus-vista","",,,,"PatientAllergies1208.verified",0,1,"",""
"PatientAllergies1208.enteredInError","PatientAllergies1208.enteredInError","","","",0,1,"","","","Coding {[]} {[]}
","ENTERED IN ERROR (-22)","ENTERED IN ERROR (-22)","","","","","","","","","",,"preferred","","http://va.gov/fhir/ValueSet/VSVFallergyEnteredInError-vista","",,,,"PatientAllergies1208.enteredInError",0,1,"",""
"PatientAllergies1208.allergyType","PatientAllergies1208.allergyType","","","",0,1,"","","","Coding {[]} {[]}
","ALLERGY TYPE (-3.1)","ALLERGY TYPE (-3.1)","","","","","","","","","",,"preferred","","http://va.gov/fhir/ValueSet/VSVFallergySubstanceCategory-vista","",,,,"PatientAllergies1208.allergyType",0,1,"",""
"PatientAllergies1208.originationDatetime","PatientAllergies1208.originationDatetime","","","",0,1,"","","","Element {[]} {[]}
","ORIGINATION DATE/TIME (-4)","ORIGINATION DATE/TIME (-4)","","","","","","","","","",,,,,"",,,,"PatientAllergies1208.originationDatetime",0,1,"",""
"PatientAllergies1208.comments","PatientAllergies1208.comments","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://va.gov/fhir/StructureDefinition/Comments120826]]}
","COMMENTS (-26)","COMMENTS (-26)","","","","","","","","","",,,,,"",,,,"PatientAllergies1208.comments",0,1,"",""
"PatientAllergies1208.drugIngredients","PatientAllergies1208.drugIngredients","","","",0,1,"","","","Element {[]} {[]}
","DRUG INGREDIENTS (-2)","DRUG INGREDIENTS (-2)","","","","","","","","","",,,,,"",,,,"PatientAllergies1208.drugIngredients",0,1,"",""
