"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"PendingOutpatientOrders5241","PendingOutpatientOrders5241","","","",0,*,"","","","null {[]} {[]}
","PENDING OUTPATIENT ORDERS (52.41)","This StructureDefinition contains the Logical Model for the mapped parts of the VistA file PENDING OUTPATIENT ORDERS (52.41)","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"PendingOutpatientOrders5241.expandedPatientInstructions","PendingOutpatientOrders5241.expandedPatientInstructions","","","",0,1,"","","","Element {[]} {[]}
","EXPANDED PATIENT INSTRUCTIONS (-105)","EXPANDED PATIENT INSTRUCTIONS (-105)","","","","","","","","","",,,,,"",,,,"PendingOutpatientOrders5241.expandedPatientInstructions",0,1,"",""
"PendingOutpatientOrders5241.placerNumber","PendingOutpatientOrders5241.placerNumber","","","",0,1,"","","","Element {[]} {[]}
","PLACER NUMBER (-.01)","PLACER NUMBER (-.01)","","","","","","","","","",,,,,"",,,,"PendingOutpatientOrders5241.placerNumber",0,1,"",""
"PendingOutpatientOrders5241.orderType","PendingOutpatientOrders5241.orderType","","","",0,1,"","","","Element {[]} {[]}
","ORDER TYPE (-2)","ORDER TYPE (-2)","","","","","","","","","",,,,,"",,,,"PendingOutpatientOrders5241.orderType",0,1,"",""
"PendingOutpatientOrders5241.enteredBy","PendingOutpatientOrders5241.enteredBy","","","",0,1,"","","","Element {[]} {[]}
","ENTERED BY (-4)","ENTERED BY (-4)","","","","","","","","","",,,,,"",,,,"PendingOutpatientOrders5241.enteredBy",0,1,"",""
"PendingOutpatientOrders5241.provider","PendingOutpatientOrders5241.provider","","","",0,1,"","","","Element {[]} {[]}
","PROVIDER (-5)","PROVIDER (-5)","","","","","","","","","",,,,,"",,,,"PendingOutpatientOrders5241.provider",0,1,"",""
"PendingOutpatientOrders5241.effectiveDate","PendingOutpatientOrders5241.effectiveDate","","","",0,1,"","","","Element {[]} {[]}
","EFFECTIVE DATE (-6)","EFFECTIVE DATE (-6)","","","","","","","","","",,,,,"",,,,"PendingOutpatientOrders5241.effectiveDate",0,1,"",""
"PendingOutpatientOrders5241.pharmacyOrderableItem","PendingOutpatientOrders5241.pharmacyOrderableItem","","","",0,1,"","","","Element {[]} {[]}
","PHARMACY ORDERABLE ITEM (-8)","PHARMACY ORDERABLE ITEM (-8)","","","","","","","","","",,,,,"",,,,"PendingOutpatientOrders5241.pharmacyOrderableItem",0,1,"",""
"PendingOutpatientOrders5241.drug","PendingOutpatientOrders5241.drug","","","",0,1,"","","","Element {[]} {[]}
","DRUG (-11)","DRUG (-11)","","","","","","","","","",,,,,"",,,,"PendingOutpatientOrders5241.drug",0,1,"",""
"PendingOutpatientOrders5241.qty","PendingOutpatientOrders5241.qty","","","",0,1,"","","","Element {[]} {[]}
","QTY (-12)","QTY (-12)","","","","","","","","","",,,,,"",,,,"PendingOutpatientOrders5241.qty",0,1,"",""
"PendingOutpatientOrders5241.ofRefills","PendingOutpatientOrders5241.ofRefills","","","",0,1,"","","","Element {[]} {[]}
","# OF REFILLS (-13)","# OF REFILLS (-13)","","","","","","","","","",,,,,"",,,,"PendingOutpatientOrders5241.ofRefills",0,1,"",""
"PendingOutpatientOrders5241.loginDate","PendingOutpatientOrders5241.loginDate","","","",0,1,"","","","Element {[]} {[]}
","LOGIN DATE (-15)","LOGIN DATE (-15)","","","","","","","","","",,,,,"",,,,"PendingOutpatientOrders5241.loginDate",0,1,"",""
"PendingOutpatientOrders5241.daysSupply","PendingOutpatientOrders5241.daysSupply","","","",0,1,"","","","Element {[]} {[]}
","DAYS SUPPLY (-101)","DAYS SUPPLY (-101)","","","","","","","","","",,,,,"",,,,"PendingOutpatientOrders5241.daysSupply",0,1,"",""
"PendingOutpatientOrders5241.providerComments","PendingOutpatientOrders5241.providerComments","","","",0,1,"","","","Element {[]} {[]}
","PROVIDER COMMENTS (-9)","PROVIDER COMMENTS (-9)","","","","","","","","","",,,,,"",,,,"PendingOutpatientOrders5241.providerComments",0,1,"",""
