"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"Prescription52","Prescription52","","","",0,*,"","","","null {[]} {[]}
","PRESCRIPTION (52)","This StructureDefinition contains the Logical Model for the mapped parts of the source PRESCRIPTION (52)","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"Prescription52.ien","Prescription52.ien","","","",0,1,"","","","Element {[]} {[]}
","IEN (-.001)","IEN (-.001)","","","","","","","","","",,,,,"",,,,"Prescription52.ien",0,1,"",""
"Prescription52.status","Prescription52.status","","","",0,1,"","","","Coding {[]} {[]}
","STATUS (-100)","STATUS (-100)","","","","","","","","","",,"preferred","","http://va.gov/fhir/ValueSet/VSVFOutMedRequestStatus-vista","",,,,"Prescription52.status",0,1,"",""
"Prescription52.drug","Prescription52.drug","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://va.gov/fhir/StructureDefinition/Drug50]]}
","DRUG (-6)","DRUG (-6)","","","","","","","","","",,,,,"",,,,"Prescription52.drug",0,1,"",""
"Prescription52.patient","Prescription52.patient","","","",0,1,"","","","Element {[]} {[]}
","PATIENT (-2)","PATIENT (-2)","","","","","","","","","",,,,,"",,,,"Prescription52.patient",0,1,"",""
"Prescription52.issueDate","Prescription52.issueDate","","","",0,1,"","","","Element {[]} {[]}
","ISSUE DATE (-1)","ISSUE DATE (-1)","","","","","","","","","",,,,,"",,,,"Prescription52.issueDate",0,1,"",""
"Prescription52.provider","Prescription52.provider","","","",0,1,"","","","Element {[]} {[]}
","PROVIDER (-4)","PROVIDER (-4)","","","","","","","","","",,,,,"",,,,"Prescription52.provider",0,1,"",""
"Prescription52.sig","Prescription52.sig","","","",0,1,"","","","Element {[]} {[]}
","SIG (-10)","SIG (-10)","","","","","","","","","",,,,,"",,,,"Prescription52.sig",0,1,"",""
"Prescription52.patientInstructions","Prescription52.patientInstructions","","","",0,1,"","","","Element {[]} {[]}
","PATIENT INSTRUCTIONS (-114)","PATIENT INSTRUCTIONS (-114)","","","","","","","","","",,,,,"",,,,"Prescription52.patientInstructions",0,1,"",""
"Prescription52.medicationInstructions","Prescription52.medicationInstructions","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://va.gov/fhir/StructureDefinition/MedicationInstructions520113]]}
","MEDICATION INSTRUCTIONS (-113)","MEDICATION INSTRUCTIONS (-113)","","","","","","","","","",,,,,"",,,,"Prescription52.medicationInstructions",0,1,"",""
"Prescription52.expirationDate","Prescription52.expirationDate","","","",0,1,"","","","Element {[]} {[]}
","EXPIRATION DATE (-26)","EXPIRATION DATE (-26)","","","","","","","","","",,,,,"",,,,"Prescription52.expirationDate",0,1,"",""
"Prescription52.cancelDate","Prescription52.cancelDate","","","",0,1,"","","","Element {[]} {[]}
","CANCEL DATE (-26.1)","CANCEL DATE (-26.1)","","","","","","","","","",,,,,"",,,,"Prescription52.cancelDate",0,1,"",""
"Prescription52.ofRefills","Prescription52.ofRefills","","","",0,1,"","","","Element {[]} {[]}
","# OF REFILLS (-9)","# OF REFILLS (-9)","","","","","","","","","",,,,,"",,,,"Prescription52.ofRefills",0,1,"",""
"Prescription52.qty","Prescription52.qty","","","",0,1,"","","","Element {[]} {[]}
","QTY (-7)","QTY (-7)","","","","","","","","","",,,,,"",,,,"Prescription52.qty",0,1,"",""
"Prescription52.daysSupply","Prescription52.daysSupply","","","",0,1,"","","","Element {[]} {[]}
","DAYS SUPPLY (-8)","DAYS SUPPLY (-8)","","","","","","","","","",,,,,"",,,,"Prescription52.daysSupply",0,1,"",""
"Prescription52.rx","Prescription52.rx","","","",0,1,"","","","Element {[]} {[]}
","RX # (-.01)","RX # (-.01)","","","","","","","","","",,,,,"",,,,"Prescription52.rx",0,1,"",""
"Prescription52.indicationForUse","Prescription52.indicationForUse","","","",0,1,"","","","Element {[]} {[]}
","INDICATION FOR USE (-128)","INDICATION FOR USE (-128)","","","","","","","","","",,,,,"",,,,"Prescription52.indicationForUse",0,1,"",""
"Prescription52.indicationForUseFlag","Prescription52.indicationForUseFlag","","","",0,1,"","","","Element {[]} {[]}
","INDICATION FOR USE FLAG (-129)","INDICATION FOR USE FLAG (-129)","","","","","","","","","",,,,,"",,,,"Prescription52.indicationForUseFlag",0,1,"",""
"Prescription52.mailwindowpark","Prescription52.mailwindowpark","","","",0,1,"","","","Element {[]} {[]}
","MAIL/WINDOW/PARK (-11)","MAIL/WINDOW/PARK (-11)","","","","","","","","","",,,,,"",,,,"Prescription52.mailwindowpark",0,1,"",""
"Prescription52.placerOrder","Prescription52.placerOrder","","","",0,1,"","","","Element {[]} {[]}
","PLACER ORDER # (-39.3)","PLACER ORDER # (-39.3)","","","","","","","","","",,,,,"",,,,"Prescription52.placerOrder",0,1,"",""
"Prescription52.releasedDatetime","Prescription52.releasedDatetime","","","",0,1,"","","","Element {[]} {[]}
","RELEASED DATE/TIME (-31)","RELEASED DATE/TIME (-31)","","","","","","","","","",,,,,"",,,,"Prescription52.releasedDatetime",0,1,"",""
"Prescription52.division","Prescription52.division","","","",0,1,"","","","Element {[]} {[]}
","DIVISION (-20)","DIVISION (-20)","","","","","","","","","",,,,,"",,,,"Prescription52.division",0,1,"",""
"Prescription52.remarks","Prescription52.remarks","","","",0,1,"","","","Element {[]} {[]}
","REMARKS (-12)","REMARKS (-12)","","","","","","","","","",,,,,"",,,,"Prescription52.remarks",0,1,"",""
"Prescription52.pharmacist","Prescription52.pharmacist","","","",0,1,"","","","Element {[]} {[]}
","PHARMACIST (-23)","PHARMACIST (-23)","","","","","","","","","",,,,,"",,,,"Prescription52.pharmacist",0,1,"",""
"Prescription52.refill","Prescription52.refill","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://va.gov/fhir/StructureDefinition/Refill521]]}
","REFILL (-52)","REFILL (-52)","","","","","","","","","",,,,,"",,,,"Prescription52.refill",0,1,"",""
"Prescription52.partialDate","Prescription52.partialDate","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://va.gov/fhir/StructureDefinition/PartialDate522]]}
","PARTIAL DATE (-60)","PARTIAL DATE (-60)","","","","","","","","","",,,,,"",,,,"Prescription52.partialDate",0,1,"",""
"Prescription52.ibNumber","Prescription52.ibNumber","","","",0,1,"","","","Element {[]} {[]}
","IB NUMBER (-106)","IB NUMBER (-106)","","","","","","","","","",,,,,"",,,,"Prescription52.ibNumber",0,1,"",""
