"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"Problem9000011","Problem9000011","","","",0,*,"","","","null {[]} {[]}
","PROBLEM (9000011)","This StructureDefinition contains the Logical Model for the mapped parts of the source PROBLEM (9000011)","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"Problem9000011.ien","Problem9000011.ien","","","",0,1,"","","","Element {[]} {[]}
","IEN (-.001)","IEN (-.001)","","","","","","","","","",,,,,"",,,,"Problem9000011.ien",0,1,"",""
"Problem9000011.dateResolved","Problem9000011.dateResolved","","","",0,1,"","","","Element {[]} {[]}
","DATE RESOLVED (-1.07)","DATE RESOLVED (-1.07)","","","","","","","","","",,,,,"",,,,"Problem9000011.dateResolved",0,1,"",""
"Problem9000011.diagnosis","Problem9000011.diagnosis","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://va.gov/fhir/StructureDefinition/IcdDiagnosis80]]}
","DIAGNOSIS (-.01)","DIAGNOSIS (-.01)","","","","","","","","","",,,,,"",,,,"Problem9000011.diagnosis",0,1,"",""
"Problem9000011.snomedCtConceptCode","Problem9000011.snomedCtConceptCode","","","",0,1,"","","","Element {[]} {[]}
","SNOMED CT CONCEPT CODE (-80001)","SNOMED CT CONCEPT CODE (-80001)","","","","","","","","","",,,,,"",,,,"Problem9000011.snomedCtConceptCode",0,1,"",""
"Problem9000011.patientName","Problem9000011.patientName","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://va.gov/fhir/StructureDefinition/Patientihs9000001]]}
","PATIENT NAME (-.02)","PATIENT NAME (-.02)","","","","","","","","","",,,,,"",,,,"Problem9000011.patientName",0,1,"",""
"Problem9000011.dateOfOnset","Problem9000011.dateOfOnset","","","",0,1,"","","","Element {[]} {[]}
","DATE OF ONSET (-.13)","DATE OF ONSET (-.13)","","","","","","","","","",,,,,"",,,,"Problem9000011.dateOfOnset",0,1,"",""
"Problem9000011.dateEntered","Problem9000011.dateEntered","","","",0,1,"","","","Element {[]} {[]}
","DATE ENTERED (-.08)","DATE ENTERED (-.08)","","","","","","","","","",,,,,"",,,,"Problem9000011.dateEntered",0,1,"",""
"Problem9000011.recordingProvider","Problem9000011.recordingProvider","","","",0,1,"","","","Element {[]} {[]}
","RECORDING PROVIDER (-1.04)","RECORDING PROVIDER (-1.04)","","","","","","","","","",,,,,"",,,,"Problem9000011.recordingProvider",0,1,"",""
"Problem9000011.status","Problem9000011.status","","","",0,1,"","","","Coding {[]} {[]}
","STATUS (-.12)","STATUS (-.12)","","","","","","","","","",,"preferred","","http://va.gov/fhir/ValueSet/VSVFproblemStatus-vista","",,,,"Problem9000011.status",0,1,"",""
"Problem9000011.condition","Problem9000011.condition","","","",0,1,"","","","Coding {[]} {[]}
","CONDITION (-1.02)","CONDITION (-1.02)","","","","","","","","","",,"preferred","","http://va.gov/fhir/ValueSet/VSVFproblemVerificationStatus-vista","",,,,"Problem9000011.condition",0,1,"",""
"Problem9000011.providerNarrative","Problem9000011.providerNarrative","","","",0,1,"","","","Element {[]} {[]}
","PROVIDER NARRATIVE (-.05)","PROVIDER NARRATIVE (-.05)","","","","","","","","","",,,,,"",,,,"Problem9000011.providerNarrative",0,1,"",""
