"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"Ptf45","Ptf45","","","",0,*,"","","","null {[]} {[]}
","PTF (45)","This StructureDefinition contains the Logical Model for the mapped parts of the VistA file PTF (45)","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"Ptf45.number","Ptf45.number","","","",0,1,"","","","Element {[]} {[]}
","NUMBER (-.001)","NUMBER (-.001)","","","","","","","","","",,,,,"",,,,"Ptf45.number",0,1,"",""
"Ptf45.internalAdmission","Ptf45.internalAdmission","","","",0,1,"","","","Element {[]} {[]}
","INTERNAL ADMISSION # (-2.1)","INTERNAL ADMISSION # (-2.1)","","","","","","","","","",,,,,"",,,,"Ptf45.internalAdmission",0,1,"",""
"Ptf45.admissionDate","Ptf45.admissionDate","","","",0,1,"","","","Element {[]} {[]}
","ADMISSION DATE (-2)","ADMISSION DATE (-2)","","","","","","","","","",,,,,"",,,,"Ptf45.admissionDate",0,1,"",""
"Ptf45.dischargeDate","Ptf45.dischargeDate","","","",0,1,"","","","Element {[]} {[]}
","DISCHARGE DATE (-70)","DISCHARGE DATE (-70)","","","","","","","","","",,,,,"",,,,"Ptf45.dischargeDate",0,1,"",""
"Ptf45.patient","Ptf45.patient","","","",0,1,"","","","Element {[]} {[]}
","PATIENT (-.01)","PATIENT (-.01)","","","","","","","","","",,,,,"",,,,"Ptf45.patient",0,1,"",""
"Ptf45.provider","Ptf45.provider","","","",0,1,"","","","Element {[]} {[]}
","PROVIDER (-79.1)","PROVIDER (-79.1)","","","","","","","","","",,,,,"",,,,"Ptf45.provider",0,1,"",""
"Ptf45.principalDiagnosis","Ptf45.principalDiagnosis","","","",0,1,"","","","Element {[]} {[]}
","PRINCIPAL DIAGNOSIS (-79)","PRINCIPAL DIAGNOSIS (-79)","","","","","","","","","",,,,,"",,,,"Ptf45.principalDiagnosis",0,1,"",""
"Ptf45.secondaryDiagnosis","Ptf45.secondaryDiagnosis","","","",0,1,"","","","Element {[]} {[]}
","SECONDARY DIAGNOSIS [#] (-79.16)","SECONDARY DIAGNOSIS [#] (-79.16)","","","","","","","","","",,,,,"",,,,"Ptf45.secondaryDiagnosis",0,1,"",""
"Ptf45.procedure","Ptf45.procedure","","","",0,1,"","","","Element {[]} {[]}
","PROCEDURE [#] (-45.01)","PROCEDURE [#] (-45.01)","","","","","","","","","",,,,,"",,,,"Ptf45.procedure",0,1,"",""
"Ptf45.sourceOfAdmission","Ptf45.sourceOfAdmission","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://va.gov/fhir/StructureDefinition/SourceOfAdmission451]]}
","SOURCE OF ADMISSION (-20)","SOURCE OF ADMISSION (-20)","","","","","","","","","",,,,,"",,,,"Ptf45.sourceOfAdmission",0,1,"",""
"Ptf45.transferringFacility","Ptf45.transferringFacility","","","",0,1,"","","","Element {[]} {[]}
","TRANSFERRING FACILITY (-21.1)","TRANSFERRING FACILITY (-21.1)","","","","","","","","","",,,,,"",,,,"Ptf45.transferringFacility",0,1,"",""
"Ptf45.receivingFacility","Ptf45.receivingFacility","","","",0,1,"","","","Element {[]} {[]}
","RECEIVING FACILITY (-76.1)","RECEIVING FACILITY (-76.1)","","","","","","","","","",,,,,"",,,,"Ptf45.receivingFacility",0,1,"",""
"Ptf45.placeOfDisposition","Ptf45.placeOfDisposition","","","",0,1,"","","","Element {[]} {[]}
","PLACE OF DISPOSITION (-75)","PLACE OF DISPOSITION (-75)","","","","","","","","","",,,,,"",,,,"Ptf45.placeOfDisposition",0,1,"",""
"Ptf45.wardAtDischarge","Ptf45.wardAtDischarge","","","",0,1,"","","","Element {[]} {[]}
","WARD AT DISCHARGE (-2.2)","WARD AT DISCHARGE (-2.2)","","","","","","","","","",,,,,"",,,,"Ptf45.wardAtDischarge",0,1,"",""
"Ptf45.facility","Ptf45.facility","","","",0,1,"","","","Element {[]} {[]}
","FACILITY (-3)","FACILITY (-3)","","","","","","","","","",,,,,"",,,,"Ptf45.facility",0,1,"",""
