"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"Surgery130","Surgery130","","","",0,*,"","","","null {[]} {[]}
","SURGERY (130)","This StructureDefinition contains the Logical Model for the mapped parts of the source SURGERY (130)","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"Surgery130.patient","Surgery130.patient","","","",0,1,"","","","Element {[]} {[]}
","PATIENT (-.01)","PATIENT (-.01)","","","","","","","","","",,,,,"",,,,"Surgery130.patient",0,1,"",""
"Surgery130.division","Surgery130.division","","","",0,1,"","","","Element {[]} {[]}
","DIVISION (-50)","DIVISION (-50)","","","","","","","","","",,,,,"",,,,"Surgery130.division",0,1,"",""
"Surgery130.visit","Surgery130.visit","","","",0,1,"","","","Element {[]} {[]}
","VISIT (-.015)","VISIT (-.015)","","","","","","","","","",,,,,"",,,,"Surgery130.visit",0,1,"",""
"Surgery130.dateOfOperation","Surgery130.dateOfOperation","","","",0,1,"","","","Element {[]} {[]}
","DATE OF OPERATION (-.09)","DATE OF OPERATION (-.09)","","","","","","","","","",,,,,"",,,,"Surgery130.dateOfOperation",0,1,"",""
"Surgery130.generalComments","Surgery130.generalComments","","","",0,1,"","","","Element {[]} {[]}
","GENERAL COMMENTS (-.28)","GENERAL COMMENTS (-.28)","","","","","","","","","",,,,,"",,,,"Surgery130.generalComments",0,1,"",""
"Surgery130.principalPreopDiagnosis","Surgery130.principalPreopDiagnosis","","","",0,1,"","","","Element {[]} {[]}
","PRINCIPAL PRE-OP DIAGNOSIS (-32)","PRINCIPAL PRE-OP DIAGNOSIS (-32)","","","","","","","","","",,,,,"",,,,"Surgery130.principalPreopDiagnosis",0,1,"",""
"Surgery130.timeProcedureBegan","Surgery130.timeProcedureBegan","","","",0,1,"","","","Element {[]} {[]}
","TIME PROCEDURE BEGAN (-121)","TIME PROCEDURE BEGAN (-121)","","","","","","","","","",,,,,"",,,,"Surgery130.timeProcedureBegan",0,1,"",""
"Surgery130.timeProcedureEnded","Surgery130.timeProcedureEnded","","","",0,1,"","","","Element {[]} {[]}
","TIME PROCEDURE ENDED (-122)","TIME PROCEDURE ENDED (-122)","","","","","","","","","",,,,,"",,,,"Surgery130.timeProcedureEnded",0,1,"",""
"Surgery130.timeOperationBegan","Surgery130.timeOperationBegan","","","",0,1,"","","","Element {[]} {[]}
","TIME OPERATION BEGAN (-.22)","TIME OPERATION BEGAN (-.22)","","","","","","","","","",,,,,"",,,,"Surgery130.timeOperationBegan",0,1,"",""
"Surgery130.timeOperationEnds","Surgery130.timeOperationEnds","","","",0,1,"","","","Element {[]} {[]}
","TIME OPERATION ENDS (-.23)","TIME OPERATION ENDS (-.23)","","","","","","","","","",,,,,"",,,,"Surgery130.timeOperationEnds",0,1,"",""
"Surgery130.nonorLocation","Surgery130.nonorLocation","","","",0,1,"","","","Element {[]} {[]}
","NON-OR LOCATION (-119)","NON-OR LOCATION (-119)","","","","","","","","","",,,,,"",,,,"Surgery130.nonorLocation",0,1,"",""
"Surgery130.opRoomProcedurePerformed","Surgery130.opRoomProcedurePerformed","","","",0,1,"","","","Element {[]} {[]}
","OP ROOM PROCEDURE PERFORMED (-.02)","OP ROOM PROCEDURE PERFORMED (-.02)","","","","","","","","","",,,,,"",,,,"Surgery130.opRoomProcedurePerformed",0,1,"",""
"Surgery130.stomaComplications","Surgery130.stomaComplications","","","",0,1,"","","","Element {[]} {[]}
","STOMA COMPLICATIONS (-688)","STOMA COMPLICATIONS (-688)","","","","","","","","","",,,,,"",,,,"Surgery130.stomaComplications",0,1,"",""
"Surgery130.myocardialInfarction","Surgery130.myocardialInfarction","","","",0,1,"","","","Element {[]} {[]}
","MYOCARDIAL INFARCTION (-258)","MYOCARDIAL INFARCTION (-258)","","","","","","","","","",,,,,"",,,,"Surgery130.myocardialInfarction",0,1,"",""
"Surgery130.perfusionist","Surgery130.perfusionist","","","",0,1,"","","","Element {[]} {[]}
","PERFUSIONIST (-.167)","PERFUSIONIST (-.167)","","","","","","","","","",,,,,"",,,,"Surgery130.perfusionist",0,1,"",""
"Surgery130.primarySurgeon","Surgery130.primarySurgeon","","","",0,1,"","","","Element {[]} {[]}
","PRIMARY SURGEON (-.14)","PRIMARY SURGEON (-.14)","","","","","","","","","",,,,,"",,,,"Surgery130.primarySurgeon",0,1,"",""
"Surgery130.firstAsst","Surgery130.firstAsst","","","",0,1,"","","","Element {[]} {[]}
","FIRST ASST (-.15)","FIRST ASST (-.15)","","","","","","","","","",,,,,"",,,,"Surgery130.firstAsst",0,1,"",""
"Surgery130.secondAsst","Surgery130.secondAsst","","","",0,1,"","","","Element {[]} {[]}
","SECOND ASST (-.16)","SECOND ASST (-.16)","","","","","","","","","",,,,,"",,,,"Surgery130.secondAsst",0,1,"",""
"Surgery130.attendingSurgeon","Surgery130.attendingSurgeon","","","",0,1,"","","","Element {[]} {[]}
","ATTENDING SURGEON (-.164)","ATTENDING SURGEON (-.164)","","","","","","","","","",,,,,"",,,,"Surgery130.attendingSurgeon",0,1,"",""
"Surgery130.asstPerfusionist","Surgery130.asstPerfusionist","","","",0,1,"","","","Element {[]} {[]}
","ASST PERFUSIONIST (-.168)","ASST PERFUSIONIST (-.168)","","","","","","","","","",,,,,"",,,,"Surgery130.asstPerfusionist",0,1,"",""
"Surgery130.skinPreppedBy1","Surgery130.skinPreppedBy1","","","",0,1,"","","","Element {[]} {[]}
","SKIN PREPPED BY (1) (-.18)","SKIN PREPPED BY (1) (-.18)","","","","","","","","","",,,,,"",,,,"Surgery130.skinPreppedBy1",0,1,"",""
"Surgery130.princAnesthetist","Surgery130.princAnesthetist","","","",0,1,"","","","Element {[]} {[]}
","PRINC ANESTHETIST (-.31)","PRINC ANESTHETIST (-.31)","","","","","","","","","",,,,,"",,,,"Surgery130.princAnesthetist",0,1,"",""
"Surgery130.reliefAnesthetist","Surgery130.reliefAnesthetist","","","",0,1,"","","","Element {[]} {[]}
","RELIEF ANESTHETIST (-.32)","RELIEF ANESTHETIST (-.32)","","","","","","","","","",,,,,"",,,,"Surgery130.reliefAnesthetist",0,1,"",""
"Surgery130.asstAnesthetist","Surgery130.asstAnesthetist","","","",0,1,"","","","Element {[]} {[]}
","ASST ANESTHETIST (-.33)","ASST ANESTHETIST (-.33)","","","","","","","","","",,,,,"",,,,"Surgery130.asstAnesthetist",0,1,"",""
"Surgery130.anesthesiologistSupvr","Surgery130.anesthesiologistSupvr","","","",0,1,"","","","Element {[]} {[]}
","ANESTHESIOLOGIST SUPVR (-.34)","ANESTHESIOLOGIST SUPVR (-.34)","","","","","","","","","",,,,,"",,,,"Surgery130.anesthesiologistSupvr",0,1,"",""
"Surgery130.verifier","Surgery130.verifier","","","",0,1,"","","","Element {[]} {[]}
","VERIFIER (-.522)","VERIFIER (-.522)","","","","","","","","","",,,,,"",,,,"Surgery130.verifier",0,1,"",""
"Surgery130.provider","Surgery130.provider","","","",0,1,"","","","Element {[]} {[]}
","PROVIDER (-123)","PROVIDER (-123)","","","","","","","","","",,,,,"",,,,"Surgery130.provider",0,1,"",""
"Surgery130.foleyCatheterInsertedBy","Surgery130.foleyCatheterInsertedBy","","","",0,1,"","","","Element {[]} {[]}
","FOLEY CATHETER INSERTED BY (-.57)","FOLEY CATHETER INSERTED BY (-.57)","","","","","","","","","",,,,,"",,,,"Surgery130.foleyCatheterInsertedBy",0,1,"",""
"Surgery130.principalProcedure","Surgery130.principalProcedure","","","",0,1,"","","","Element {[]} {[]}
","PRINCIPAL PROCEDURE (-26)","PRINCIPAL PROCEDURE (-26)","","","","","","","","","",,,,,"",,,,"Surgery130.principalProcedure",0,1,"",""
"Surgery130.plannedPrinProcedureCode","Surgery130.plannedPrinProcedureCode","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://va.gov/fhir/StructureDefinition/Cpt81]]}
","PLANNED PRIN PROCEDURE CODE (-27)","PLANNED PRIN PROCEDURE CODE (-27)","","","","","","","","","",,,,,"",,,,"Surgery130.plannedPrinProcedureCode",0,1,"",""
