"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"SurgicalPathology6308","SurgicalPathology6308","","","",0,*,"","","","null {[]} {[]}
","SURGICAL PATHOLOGY (63.08)","This StructureDefinition contains the Logical Model for the mapped parts of the VistA file SURGICAL PATHOLOGY (63.08)","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"SurgicalPathology6308.orderedTest","SurgicalPathology6308.orderedTest","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://va.gov/fhir/StructureDefinition/OrderedTest6353]]}
","ORDERED TEST (-.35)","ORDERED TEST (-.35)","","","","","","","","","",,,,,"",,,,"SurgicalPathology6308.orderedTest",0,1,"",""
"SurgicalPathology6308.datetimeSpecimenTaken","SurgicalPathology6308.datetimeSpecimenTaken","","","",0,1,"","","","Element {[]} {[]}
","DATE/TIME SPECIMEN TAKEN (-.01)","DATE/TIME SPECIMEN TAKEN (-.01)","","","","","","","","","",,,,,"",,,,"SurgicalPathology6308.datetimeSpecimenTaken",0,1,"",""
"SurgicalPathology6308.dateReportCompleted","SurgicalPathology6308.dateReportCompleted","","","",0,1,"","","","Element {[]} {[]}
","DATE REPORT COMPLETED (-.03)","DATE REPORT COMPLETED (-.03)","","","","","","","","","",,,,,"",,,,"SurgicalPathology6308.dateReportCompleted",0,1,"",""
"SurgicalPathology6308.releasedBy","SurgicalPathology6308.releasedBy","","","",0,1,"","","","Element {[]} {[]}
","RELEASED BY (-.13)","RELEASED BY (-.13)","","","","","","","","","",,,,,"",,,,"SurgicalPathology6308.releasedBy",0,1,"",""
"SurgicalPathology6308.releasingSite","SurgicalPathology6308.releasingSite","","","",0,1,"","","","Element {[]} {[]}
","RELEASING SITE (-.345)","RELEASING SITE (-.345)","","","","","","","","","",,,,,"",,,,"SurgicalPathology6308.releasingSite",0,1,"",""
"SurgicalPathology6308.pathologist","SurgicalPathology6308.pathologist","","","",0,1,"","","","Element {[]} {[]}
","PATHOLOGIST (-.02)","PATHOLOGIST (-.02)","","","","","","","","","",,,,,"",,,,"SurgicalPathology6308.pathologist",0,1,"",""
"SurgicalPathology6308.surgicalPathAcc","SurgicalPathology6308.surgicalPathAcc","","","",0,1,"","","","Element {[]} {[]}
","SURGICAL PATH ACC # (-.06)","SURGICAL PATH ACC # (-.06)","","","","","","","","","",,,,,"",,,,"SurgicalPathology6308.surgicalPathAcc",0,1,"",""
"SurgicalPathology6308.image","SurgicalPathology6308.image","","","",0,1,"","","","Element {[]} {[]}
","IMAGE (-2005)","IMAGE (-2005)","","","","","","","","","",,,,,"",,,,"SurgicalPathology6308.image",0,1,"",""
"SurgicalPathology6308.surgicalPathDiagnosis","SurgicalPathology6308.surgicalPathDiagnosis","","","",0,1,"","","","Element {[]} {[]}
","SURGICAL PATH DIAGNOSIS (-1.4)","SURGICAL PATH DIAGNOSIS (-1.4)","","","","","","","","","",,,,,"",,,,"SurgicalPathology6308.surgicalPathDiagnosis",0,1,"",""
"SurgicalPathology6308.tiuReferenceDatetimeSp","SurgicalPathology6308.tiuReferenceDatetimeSp","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://va.gov/fhir/StructureDefinition/TiuReferenceDatetime6319]]}
","TIU REFERENCE DATE/TIME - SP (-.16)","TIU REFERENCE DATE/TIME - SP (-.16)","","","","","","","","","",,,,,"",,,,"SurgicalPathology6308.tiuReferenceDatetimeSp",0,1,"",""
"SurgicalPathology6308.specimen","SurgicalPathology6308.specimen","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://va.gov/fhir/StructureDefinition/Specimen63812]]}
","SPECIMEN (-.012)","SPECIMEN (-.012)","","","","","","","","","",,,,,"",,,,"SurgicalPathology6308.specimen",0,1,"",""
