"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"TiuDocument8925","TiuDocument8925","","","",0,*,"","","","null {[]} {[]}
","TIU DOCUMENT (8925)","This StructureDefinition contains the Logical Model for the mapped parts of the source TIU DOCUMENT (8925)","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"TiuDocument8925.documentType","TiuDocument8925.documentType","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://va.gov/fhir/StructureDefinition/TiuDocumentDefinition89251]]}
","DOCUMENT TYPE (-.01)","DOCUMENT TYPE (-.01)","","","","","","","","","",,,,,"",,,,"TiuDocument8925.documentType",0,1,"",""
"TiuDocument8925.reportText","TiuDocument8925.reportText","","","",0,1,"","","","Element {[]} {[]}
","REPORT TEXT (-2)","REPORT TEXT (-2)","","","","","","","","","",,,,,"",,,,"TiuDocument8925.reportText",0,1,"",""
"TiuDocument8925.ien","TiuDocument8925.ien","","","",0,1,"","","","Element {[]} {[]}
","IEN (-.001)","IEN (-.001)","","","","","","","","","",,,,,"",,,,"TiuDocument8925.ien",0,1,"",""
"TiuDocument8925.patient","TiuDocument8925.patient","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://va.gov/fhir/StructureDefinition/Patientihs9000001]]}
","PATIENT (-.02)","PATIENT (-.02)","","","","","","","","","",,,,,"",,,,"TiuDocument8925.patient",0,1,"",""
"TiuDocument8925.entryDatetime","TiuDocument8925.entryDatetime","","","",0,1,"","","","Element {[]} {[]}
","ENTRY DATE/TIME (-1201)","ENTRY DATE/TIME (-1201)","","","","","","","","","",,,,,"",,,,"TiuDocument8925.entryDatetime",0,1,"",""
"TiuDocument8925.authordictator","TiuDocument8925.authordictator","","","",0,1,"","","","Element {[]} {[]}
","AUTHOR/DICTATOR (-1202)","AUTHOR/DICTATOR (-1202)","","","","","","","","","",,,,,"",,,,"TiuDocument8925.authordictator",0,1,"",""
"TiuDocument8925.signedBy","TiuDocument8925.signedBy","","","",0,1,"","","","Element {[]} {[]}
","SIGNED BY (-1502)","SIGNED BY (-1502)","","","","","","","","","",,,,,"",,,,"TiuDocument8925.signedBy",0,1,"",""
"TiuDocument8925.verifiedBy","TiuDocument8925.verifiedBy","","","",0,1,"","","","Element {[]} {[]}
","VERIFIED BY (-1306)","VERIFIED BY (-1306)","","","","","","","","","",,,,,"",,,,"TiuDocument8925.verifiedBy",0,1,"",""
"TiuDocument8925.division","TiuDocument8925.division","","","",0,1,"","","","Element {[]} {[]}
","DIVISION (-1212)","DIVISION (-1212)","","","","","","","","","",,,,,"",,,,"TiuDocument8925.division",0,1,"",""
"TiuDocument8925.subjectOptionalDescription","TiuDocument8925.subjectOptionalDescription","","","",0,1,"","","","Element {[]} {[]}
","SUBJECT (OPTIONAL description) (-1701)","SUBJECT (OPTIONAL description) (-1701)","","","","","","","","","",,,,,"",,,,"TiuDocument8925.subjectOptionalDescription",0,1,"",""
"TiuDocument8925.visit","TiuDocument8925.visit","","","",0,1,"","","","Element {[]} {[]}
","VISIT (-.03)","VISIT (-.03)","","","","","","","","","",,,,,"",,,,"TiuDocument8925.visit",0,1,"",""
"TiuDocument8925.visitType","TiuDocument8925.visitType","","","",0,1,"","","","Element {[]} {[]}
","VISIT TYPE (-.13)","VISIT TYPE (-.13)","","","","","","","","","",,,,,"",,,,"TiuDocument8925.visitType",0,1,"",""
"TiuDocument8925.episodeBeginDatetime","TiuDocument8925.episodeBeginDatetime","","","",0,1,"","","","Element {[]} {[]}
","EPISODE BEGIN DATE/TIME (-.07)","EPISODE BEGIN DATE/TIME (-.07)","","","","","","","","","",,,,,"",,,,"TiuDocument8925.episodeBeginDatetime",0,1,"",""
"TiuDocument8925.episodeEndDatetime","TiuDocument8925.episodeEndDatetime","","","",0,1,"","","","Element {[]} {[]}
","EPISODE END DATE/TIME (-.08)","EPISODE END DATE/TIME (-.08)","","","","","","","","","",,,,,"",,,,"TiuDocument8925.episodeEndDatetime",0,1,"",""
"TiuDocument8925.hospitalLocation","TiuDocument8925.hospitalLocation","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://va.gov/fhir/StructureDefinition/HospitalLocation44]]}
","HOSPITAL LOCATION (-1205)","HOSPITAL LOCATION (-1205)","","","","","","","","","",,,,,"",,,,"TiuDocument8925.hospitalLocation",0,1,"",""
"TiuDocument8925.treatingSpecialty","TiuDocument8925.treatingSpecialty","","","",0,1,"","","","Element {[]} {[]}
","TREATING SPECIALTY (-1402)","TREATING SPECIALTY (-1402)","","","","","","","","","",,,,,"",,,,"TiuDocument8925.treatingSpecialty",0,1,"",""
