"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"VCpt900001018","VCpt900001018","","","",0,*,"","","","null {[]} {[]}
","V CPT (9000010.18)","-","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"VCpt900001018.cpt","VCpt900001018.cpt","","","",0,1,"","","","Element {[]} {[]}
","CPT (-.01)","CPT (-.01)","","","","","","","","","",,,,,"",,,,"VCpt900001018.cpt",0,1,"",""
"VCpt900001018.patientName","VCpt900001018.patientName","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://va.gov/fhir/StructureDefinition/Patientihs9000001]]}
","PATIENT NAME (-.02)","PATIENT NAME (-.02)","","","","","","","","","",,,,,"",,,,"VCpt900001018.patientName",0,1,"",""
"VCpt900001018.visit","VCpt900001018.visit","","","",0,1,"","","","Element {[]} {[]}
","VISIT (-.03)","VISIT (-.03)","","","","","","","","","",,,,,"",,,,"VCpt900001018.visit",0,1,"",""
"VCpt900001018.providerNarrative","VCpt900001018.providerNarrative","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://va.gov/fhir/StructureDefinition/ProviderNarrative999999927]]}
","PROVIDER NARRATIVE (-.04)","PROVIDER NARRATIVE (-.04)","","","","","","","","","",,,,,"",,,,"VCpt900001018.providerNarrative",0,1,"",""
"VCpt900001018.diagnosis","VCpt900001018.diagnosis","","","",0,1,"","","","Element {[]} {[]}
","DIAGNOSIS (-.05)","DIAGNOSIS (-.05)","","","","","","","","","",,,,,"",,,,"VCpt900001018.diagnosis",0,1,"",""
"VCpt900001018.diagnosis2","VCpt900001018.diagnosis2","","","",0,1,"","","","Element {[]} {[]}
","DIAGNOSIS 2 (-.09)","DIAGNOSIS 2 (-.09)","","","","","","","","","",,,,,"",,,,"VCpt900001018.diagnosis2",0,1,"",""
"VCpt900001018.diagnosis3","VCpt900001018.diagnosis3","","","",0,1,"","","","Element {[]} {[]}
","DIAGNOSIS 3 (-.1)","DIAGNOSIS 3 (-.1)","","","","","","","","","",,,,,"",,,,"VCpt900001018.diagnosis3",0,1,"",""
"VCpt900001018.diagnosis4","VCpt900001018.diagnosis4","","","",0,1,"","","","Element {[]} {[]}
","DIAGNOSIS 4 (-.11)","DIAGNOSIS 4 (-.11)","","","","","","","","","",,,,,"",,,,"VCpt900001018.diagnosis4",0,1,"",""
"VCpt900001018.diagnosis5","VCpt900001018.diagnosis5","","","",0,1,"","","","Element {[]} {[]}
","DIAGNOSIS 5 (-.12)","DIAGNOSIS 5 (-.12)","","","","","","","","","",,,,,"",,,,"VCpt900001018.diagnosis5",0,1,"",""
"VCpt900001018.diagnosis6","VCpt900001018.diagnosis6","","","",0,1,"","","","Element {[]} {[]}
","DIAGNOSIS 6 (-.13)","DIAGNOSIS 6 (-.13)","","","","","","","","","",,,,,"",,,,"VCpt900001018.diagnosis6",0,1,"",""
"VCpt900001018.diagnosis7","VCpt900001018.diagnosis7","","","",0,1,"","","","Element {[]} {[]}
","DIAGNOSIS 7 (-.14)","DIAGNOSIS 7 (-.14)","","","","","","","","","",,,,,"",,,,"VCpt900001018.diagnosis7",0,1,"",""
"VCpt900001018.diagnosis8","VCpt900001018.diagnosis8","","","",0,1,"","","","Element {[]} {[]}
","DIAGNOSIS 8 (-.15)","DIAGNOSIS 8 (-.15)","","","","","","","","","",,,,,"",,,,"VCpt900001018.diagnosis8",0,1,"",""
"VCpt900001018.eventDateAndTime","VCpt900001018.eventDateAndTime","","","",0,1,"","","","Element {[]} {[]}
","EVENT DATE AND TIME (-1201)","EVENT DATE AND TIME (-1201)","","","","","","","","","",,,,,"",,,,"VCpt900001018.eventDateAndTime",0,1,"",""
"VCpt900001018.encounterProvider","VCpt900001018.encounterProvider","","","",0,1,"","","","Element {[]} {[]}
","ENCOUNTER PROVIDER (-1204)","ENCOUNTER PROVIDER (-1204)","","","","","","","","","",,,,,"",,,,"VCpt900001018.encounterProvider",0,1,"",""
"VCpt900001018.comments","VCpt900001018.comments","","","",0,1,"","","","Element {[]} {[]}
","COMMENTS (-81101)","COMMENTS (-81101)","","","","","","","","","",,,,,"",,,,"VCpt900001018.comments",0,1,"",""
