"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"VImmunization900001011","VImmunization900001011","","","",0,*,"","","","null {[]} {[]}
","V IMMUNIZATION (9000010.11)","This StructureDefinition contains the Logical Model for the mapped parts of the VistA file V IMMUNIZATION (9000010.11)","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"VImmunization900001011.lot","VImmunization900001011.lot","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://va.gov/fhir/StructureDefinition/ImmunizationLot999999941]]}
","LOT (-.05)","LOT (-.05)","","","","","","","","","",,,,,"",,,,"VImmunization900001011.lot",0,1,"",""
"VImmunization900001011.immunization","VImmunization900001011.immunization","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://va.gov/fhir/StructureDefinition/Immunization999999914]]}
","IMMUNIZATION (-.01)","IMMUNIZATION (-.01)","","","","","","","","","",,,,,"",,,,"VImmunization900001011.immunization",0,1,"",""
"VImmunization900001011.eventInformationSource","VImmunization900001011.eventInformationSource","","","",0,1,"","","","Element {[]} {[]}
","EVENT INFORMATION SOURCE (-1301)","EVENT INFORMATION SOURCE (-1301)","","","","","","","","","",,,,,"",,,,"VImmunization900001011.eventInformationSource",0,1,"",""
"VImmunization900001011.patientName","VImmunization900001011.patientName","","","",0,1,"","","","Element {[]} {[]}
","PATIENT NAME (-.02)","PATIENT NAME (-.02)","","","","","","","","","",,,,,"",,,,"VImmunization900001011.patientName",0,1,"",""
"VImmunization900001011.eventDateAndTime","VImmunization900001011.eventDateAndTime","","","",0,1,"","","","Element {[]} {[]}
","EVENT DATE AND TIME (-1201)","EVENT DATE AND TIME (-1201)","","","","","","","","","",,,,,"",,,,"VImmunization900001011.eventDateAndTime",0,1,"",""
"VImmunization900001011.dose","VImmunization900001011.dose","","","",0,1,"","","","Element {[]} {[]}
","DOSE (-1312)","DOSE (-1312)","","","","","","","","","",,,,,"",,,,"VImmunization900001011.dose",0,1,"",""
"VImmunization900001011.encounterProvider","VImmunization900001011.encounterProvider","","","",0,1,"","","","Element {[]} {[]}
","ENCOUNTER PROVIDER (-1204)","ENCOUNTER PROVIDER (-1204)","","","","","","","","","",,,,,"",,,,"VImmunization900001011.encounterProvider",0,1,"",""
"VImmunization900001011.comments","VImmunization900001011.comments","","","",0,1,"","","","Element {[]} {[]}
","COMMENTS (-81101)","COMMENTS (-81101)","","","","","","","","","",,,,,"",,,,"VImmunization900001011.comments",0,1,"",""
"VImmunization900001011.series","VImmunization900001011.series","","","",0,1,"","","","Element {[]} {[]}
","SERIES (-.04)","SERIES (-.04)","","","","","","","","","",,,,,"",,,,"VImmunization900001011.series",0,1,"",""
"VImmunization900001011.doseUnits","VImmunization900001011.doseUnits","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://va.gov/fhir/StructureDefinition/UcumCodes7575]]}
","DOSE UNITS (-1313)","DOSE UNITS (-1313)","","","","","","","","","",,,,,"",,,,"VImmunization900001011.doseUnits",0,1,"",""
"VImmunization900001011.datetimeRecorded","VImmunization900001011.datetimeRecorded","","","",0,1,"","","","Element {[]} {[]}
","DATE/TIME RECORDED (-1205)","DATE/TIME RECORDED (-1205)","","","","","","","","","",,,,,"",,,,"VImmunization900001011.datetimeRecorded",0,1,"",""
"VImmunization900001011.visit","VImmunization900001011.visit","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://va.gov/fhir/StructureDefinition/Visit9000010]]}
","VISIT (-.03)","VISIT (-.03)","","","","","","","","","",,,,,"",,,,"VImmunization900001011.visit",0,1,"",""
"VImmunization900001011.reaction","VImmunization900001011.reaction","","","",0,1,"","","","Coding {[]} {[]}
","REACTION (-.06)","REACTION (-.06)","","","","","","","","","",,"preferred","","http://va.gov/fhir/ValueSet/VSVFImmunizationReaction-vista","",,,,"VImmunization900001011.reaction",0,1,"",""
