URL,Version,Status,OIDs,Name,Title,Description,Used
http://hl7.org/fhir/CodeSystem/medicationrequest-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.1377",medicationrequest Status,Medicationrequest  status,"MedicationRequest Status Codes","ValueSet/OutMedRequestStatus,ConceptMap/VF-OutMedRequestStatus"
http://hl7.org/fhir/administrative-gender,4.0.1,active,"2.16.840.1.113883.4.642.4.2",AdministrativeGender,AdministrativeGender,"The gender of a person used for administrative purposes.","ConceptMap/VF-providerGender,ValueSet/providerGender,ValueSet/adminGender,ConceptMap/VF-adminGender"
http://hl7.org/fhir/allergy-intolerance-category,4.0.1,draft,"2.16.840.1.113883.4.642.4.134",AllergyIntoleranceCategory,AllergyIntoleranceCategory,"Category of an identified substance associated with allergies or intolerances.","ValueSet/allergySubstanceCategory,ConceptMap/VF-allergySubstanceCategory"
http://hl7.org/fhir/allergy-intolerance-type,4.0.1,draft,"2.16.840.1.113883.4.642.4.132",AllergyIntoleranceType,AllergyIntoleranceType,"Identification of the underlying physiological mechanism for a Reaction Risk.","ValueSet/allergyMechanism,ConceptMap/VF-allergyMechanism"
http://hl7.org/fhir/appointmentstatus,4.0.1,draft,"2.16.840.1.113883.4.642.4.485",AppointmentStatus,AppointmentStatus,"The free/busy status of an appointment.","ConceptMap/VF-AppointmentStatus,ValueSet/AppointmentStatus"
http://hl7.org/fhir/composition-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.242",CompositionStatus,CompositionStatus,"The workflow/clinical status of the composition.","ValueSet/documentReferencedocStatus,ConceptMap/VF-documentReferencedocStatus"
http://hl7.org/fhir/device-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.210",FHIRDeviceStatus,FHIRDeviceStatus,"The availability status of the device.","ValueSet/DentalDeviceStatus,ConceptMap/VF-DentalDeviceStatus"
http://hl7.org/fhir/diagnostic-report-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.236",DiagnosticReportStatus,DiagnosticReportStatus,"The status of the diagnostic report.","ValueSet/DiagnosticReportLabStatus,ConceptMap/VF-DiagnosticReportLabStatus"
http://hl7.org/fhir/event-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.110",EventStatus,EventStatus,"Codes identifying the lifecycle stage of an event.","ConceptMap/VF-RadiologyProcedureStatus,ValueSet/RadiologyProcedureStatus"
http://hl7.org/fhir/gender-identity,4.0.1,draft,"2.16.840.1.113883.4.642.4.973",GenderIdentity,Gender identity,"This example value set defines a set of codes that can be used to indicate a patient's gender identity.","ValueSet/genderIdentity,ConceptMap/VF-genderIdentity"
