URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1010.4,20170601,active,,Medication Clinical Drug,,"","StructureDefinition/MedicationRequestOutpatient,StructureDefinition/MedicationRequestNonVA,StructureDefinition/MedicationRequestPending,StructureDefinition/MedicationRequestUnsigned",
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1010.6,20210630,active,,CVX Vaccines Administered Vaccine Set,,"","StructureDefinition/VAERSImmunizationpvac1,StructureDefinition/VAERSImmunizationpvac2,StructureDefinition/VAERSabstract,StructureDefinition/VAERSImmunizationpvac3,StructureDefinition/VAERSImmunizationvac1,StructureDefinition/VAERSImmunizationvac3,StructureDefinition/VAERSImmunizationvac2,StructureDefinition/VAERSImmunizationvac4,StructureDefinition/VAERSImmunizationpvac4","hl7.terminology.r4"
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1186.8,20210622,active,,Common substances for allergy and intolerance documentation including refutations,,"","StructureDefinition/AllergyIntolerance",
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.114222.4.11.1066,20190521,active,,Healthcare Provider Taxonomy,,"","StructureDefinition/PractitionerRole","Other"
http://hl7.org/fhir/ValueSet/account-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.726",AccountStatus,AccountStatus,"Indicates whether the account is available to be used.","StructureDefinition/DebtPortalAccount","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/account-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.728",AccountTypes,Account Types,"This examples value set defines the set of codes that can be used to represent the type of an account.","StructureDefinition/DebtPortalAccount","THO (V3)"
http://hl7.org/fhir/ValueSet/additional-instruction-codes,4.0.1,draft,"2.16.840.1.113883.4.642.3.95",SNOMEDCTAdditionalDosageInstructions,SNOMED CT Additional Dosage Instructions,"This value set includes all SNOMED CT Additional Dosage Instructions.","StructureDefinition/MedicationRequestOutpatient,StructureDefinition/MedicationDispenseRefill,StructureDefinition/MedicationRequestNonVA,StructureDefinition/MedicationDispensePartial,StructureDefinition/MedicationRequestPending,StructureDefinition/MedicationRequestUnsigned,StructureDefinition/MedicationDispenseOriginal","SCT"
http://hl7.org/fhir/ValueSet/address-type,4.0.1,active,"2.16.840.1.113883.4.642.3.69",AddressType,AddressType,"The type of an address (physical / postal).","StructureDefinition/Patient,StructureDefinition/VAERSPatient,StructureDefinition/ProcedureSurgeryLocationOR,StructureDefinition/Location,StructureDefinition/DebtPortalPatient,StructureDefinition/Practitioner,StructureDefinition/Organization","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/address-use,4.0.1,active,"2.16.840.1.113883.4.642.3.67",AddressUse,AddressUse,"The use of an address.","StructureDefinition/Patient,StructureDefinition/VAERSPatient,StructureDefinition/ProcedureSurgeryLocationOR,StructureDefinition/Location,StructureDefinition/DebtPortalPatient,StructureDefinition/Practitioner,StructureDefinition/Organization","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/administration-method-codes,4.0.1,draft,"2.16.840.1.113883.4.642.3.97",SNOMEDCTAdministrationMethodCodes,SNOMED CT Administration Method Codes,"This value set includes some method codes from SNOMED CT - provided as an exemplar","StructureDefinition/MedicationRequestOutpatient,StructureDefinition/MedicationDispenseRefill,StructureDefinition/MedicationRequestNonVA,StructureDefinition/MedicationDispensePartial,StructureDefinition/MedicationRequestPending,StructureDefinition/MedicationRequestUnsigned,StructureDefinition/MedicationDispenseOriginal","SCT"
